Source,Company,About,SDGs,Location,Website,Founded,Employees,Industries,Stage,Business model,Funding state,10_goal,11_goal,12_goal,13_goal,14_goal,15_goal,16_goal,17_goal,1_goal,2_goal,3_goal,4_goal,5_goal,6_goal,7_goal,8_goal,9_goal
https://plusimpact.io/startups/reel-denmark,Reel,"Reel is a climate impact start-up aiming to democratize the energy market and accelerate the development of renewable energy on a global level. We see this as a pivotal step towards a zero-carbon economy and avoiding irreversible climate change and damage to life on earth. Currently, Power Purchase Agreements (PPAs) - an emerging type of renewable energy contract linked to the development of new renewable energy assets - are only available for the largest 1% of companies. Reel democratizes the renewable energy market by making it possible for groups of SMEs to act as ""one synthetic large company"" and enter into a PPA. This is done with an aggregational software model, a novel risk management system and a standardized contractual framework. We aim to become a central marketplace for renewable energy procurement – transparently and available for all. It will massively benefit the companies entering the market (SMEs), the renewable energy developers and the green transition that can now be accelerated on market terms.","7_goal,13_goal,",København,https://reel.energy/,2020,01-???,"Energy & Greentech, IT & Software, SaaS",Product or prototype,B2B,Pre-seed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
https://plusimpact.io/startups/coreseer,CoreSeer,"At CoreSeer, we aim to future-proof our users’ skill sets, preparing them for the real world through an AI-driven professional development platform. It is an intelligent education and career coaching service. We are working hard to help people learn the skills that they need to make themselves future-proof and more marketable and change their lives for the better. We know that there are skills that will remain in-demand and marketable, and we want to afford people easier access to those skills, empowering them to learn what they need to learn in a way that is encouraging, fun, efficient, and effective. The ideal future of CoreSeer is one in which the users are growing both personally and professionally. At the heart of the CoreSeer platform is the recommendation engine, which guides people toward the occupations, skills, jobs, online-courses, lessons, and other opportunities that suit them best. We are drawing upon information about people’s needs, where they see their education or career path headed, and what will serve their futures best – accounting for all of these variables as we match people to the content that is available through CoreSeer. This means that, unlike other platforms that force users to make decisions about their education or career choices, we are offering a form of automated mentoring for our users, encouraging them to follow one path or another based on the results that they want to see.","4_goal,8_goal,",Tampere,https://coreseer.com,2020,01-???,"Education, Jobs & Recruitment",Product or prototype,"B2C, B2B, Marketplace",Pre-seed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
https://plusimpact.io/startups/vakansa,Vakansa,"Our vision is to contribute to more lively cities through a resource effective use of the physical space. Vakansa is a digital platform that aims to scale up and ease the process of co-using ""time vacancies"" and the development of ""space vacancies"" for real estate owners, green tech companies, schools, civil society and associations. Time vacancies: are the specific times in which existing tenants are not using their buildings/facilities and that could be co used with others those specific times. Space vacancies: are flat spaces on a property such as walls, roofs, green spaces, hardened spaces and other spaces that could be developed with different solutions such as solar panels, art, allotments, outdoor gyms, playing grounds and green/clean tech innovations that could increase the social and environmental value of the property. ""Sustainability facilities management"" is a facility management service where Vakansa offers to rent the time vacancies of e.g a school in order to take full responsibility of the facilities & make sure to maximize the shared usage by renting it out on our digital platform. The concept includes handling of VAT and rental laws, contract issues, booking systems, key management, insurance issues and routines, that includes having a ""Sustainability facilities manager"" on the spot ensuring that nothing happens during the co usage. We see economical and environmental benefits where e.g schools that pay high rents for time vacancies could share the rent with associations & the civil society that are in need of cheap and available. That could enhance the social capital of an area.","8_goal,11_goal,12_goal,",Sweden,https://vakansa.se/,2019,01-???,SaaS,Go to market,"B2C, B2B, Marketplace, B2G",Bootstrapping,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://plusimpact.io/startups/hud,HUD,"Vi har grundat företaget HUD till följd av att förbättra villkoren för de miljarder människor som lider av handeksem genom en ny unik diskhandske. Vi har själv lidit av olika typer av allergi och eksem i livet, så drivkraften handlar om att underlätta vardagen för dessa människor. Vi har uppfunnit och patenterat världens första diskhandske som KAN användas av människor med handeksem. Det handlar om en patenterad materialkonstruktion som absorberar fukten ifrån handen till innerlagret ut till absorptionslagret, vilket eliminerar både eksemutbrott och klåda.","3_goal,13_goal,14_goal,",Sweden,http://www.hudsverige.se,2016,01-???,"Consumer Goods, Healthcare & Life Science, Marketplace & eCommerce, Science & Engineering, Fashion & Living",Product or prototype,B2C,Pre-seed,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
https://plusimpact.io/startups/elonroad-1,Elonroad,"Elonroad develops a high-tech electric road system – it auto charges all types of electric vehicles when parked as well as when driving and the system is equipped with IoT sensors and software that captures and analyses transportation data. The solution is a conductive charging infrastructure designed for all electric vehicles (EVs), e.g., buses and trucks, cars, taxis, that operate in urban and highway conditions with the capacity to transfer up to 300kW with 98% efficiency. EVs that connect to Elonroad obtain direct power drive energy and charge their batteries to continue driving when disconnected from the electric road system (ERS). The power is distributed in very short segments of 1 meter and is unlocked by encrypted radio communication between the vehicle and the rail. Our ERS is equipped with IoT sensors and software that captures and analyses transportation data to generate intelligent feedback that interacts in real-time with moving and stationary vehicles. The digital road can facilitate the transition to autonomous vehicles by adding safety as it can inform about coming obstacles on the road, traffic movements and local deviations of temperature and weather conditions. Elonroad is the perfect union of disruptive tech and traditional engineering. Our vision is to electrify the entire transport sector and make fossil fuel a thing of the past, without increasing the demand of batteries. We will be the enabler of electrification of vehicles just like fiber has been for digitalization. We can contribute to reducing road transport CO2 emissions by more than 50%.","9_goal,11_goal,13_goal,",Sweden,https://elonroad.com/,2014,???-50,"Energy & Greentech, Maritime & Transport, Science & Engineering",Product or prototype,B2B,Seed,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
https://plusimpact.io/startups/plasticfri,PlasticFri,"PlasticFri™ is a CleanTech company from Sweden with the vision to end plastic pollution catastrophe. Conventional plastics are made from petroleum and stay in the environment up to 1000 years! By 2050, the oceans could have more plastic than fish. We are on a mission to change that through our revolutionary technology by turning agricultural waste to Plant-based alternatives for replacing disposable plastics PlasticFri was recently awarded as the “World’s Most Innovative Sustainability Startup” among 1402 companies Worldwide!","12_goal,13_goal,14_goal,",Sweden,https://www.plasticfri.com/,2018,???-50,"Consumer Goods, Energy & Greentech, Manufacturing, Retail, Food & Beverage, Science & Engineering",Growth and expansion,B2B,Seed,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/desert-control-1,Desert Control,"Desertification – one of the greatest threats of our time Climate change and global warming degrade land, cause deserts to spread and temperatures to rise in a vicious cycle. The degradation of land and soil cripples terrestrial ecosystems crucial for biodiversity, CO2 uptake, and fragile balances vital for life on earth. Twelve million hectares of productive land perish annually due to desertification and drought. Growing water scarcity magnifies the challenge of combating this dilemma. Nature alone lacks the resilience to endure continued overexploitation and impacts of climate change. Disrupting current trends by restoring ecosystems and fostering sustainable use of scarce resources is crucial for the health and prosperity of our planet. Healthy soil is integral to any plan for addressing global issues such as; food and nutritional security, climate change, growing water demands, and biodiversity. Our mission is to make earth green, resilient, and sustainable to foster prosperity for life on earth.","2_goal,13_goal,15_goal,",Norway,https://www.desertcontrol.com,2018,01-???,"Energy & Greentech, Agriculture",Product or prototype,"B2B, Marketplace, B2G",Seed,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
https://plusimpact.io/startups/go-pen,Go-Pen,"Only a few diabetics in developing countries have the opportunity to take their insulin in an insulin pen used by those diabetics in affluent countries. Instead, they are relegated to using traditional syringes and needles, which are cheaper but difficult to use safely. We wish to change this. The GO-Pen device creates access to a new insulin pen combining established mechanisms (which it has the rights and IP to exploit) with technical innovations to develop a significantly cheaper product. The GO-Pen combines a reusable unit that accurately doses insulin held in a capsule that can be refilled from vials. This eliminates the need for syringes. The benefits are, 1) a quicker, more discrete injection, 2) fewer life-threatening hypos, 3) reduced cost of training healthcare professionals, 4) ease of use and higher adherence, 5) reduced risk of complications, 6) reduced cost; and 7) reduced hazardous waste and CO2 emissions Building on a grant from the Danish “Innovationsfonden”, we seek additional support for maturing a patented concept that combines elements of known and new technology into a new, safe and cheaper type of insulin pen.","3_goal,8_goal,13_goal,",Ishøj,http://www.insuject.com/,2019,01-???,Healthcare & Life Science,Product or prototype,B2C,Pre-seed,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
https://plusimpact.io/startups/lifeline-robotics-as,Lifeline Robotics A/S,"We use collaborative robots to automate and democratize access to healthcare! The groundbreaking robot, Careebo, has been designed and developed by a team of robotics researchers at the Maersk Mc-Kinney Moller Institute at the University of Southern Denmark (SDU) in Odense, a city home to one of the world’s leading robotics clusters.","3_goal,9_goal,17_goal,",Odense,https://www.lifelinerobotics.com/,2020,01-???,"Healthcare & Life Science, IT & Software, Service, Manufacturing, Science & Engineering, Robotics",Go to market,B2B,Seed,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
https://plusimpact.io/startups/spectro-inlets-aps,Spectro Inlets ApS,"Mission: We provide real-time and accurate measurement solutions to optimize environmental and chemical processes to achieve a greener, cleaner world. Vision: Making mass spectrometry accessible to everyone for any test environment. Description: Using our proprietary microchip inlet technology, we are able to bring mass spectrometers out of the laboratory and into the real-world. We already provide benchtop analysis systems for electrochemistry and battery research which we sell to research institutions around the world. We have tested and are currently developing the commercial version of an online industrial sensor version of our system for real-time measurements in biogas production facilities and wastewater treatment plants.","6_goal,7_goal,13_goal,",København,https://spectroinlets.com/,2016,01-???,"Energy & Greentech, IoT",Go to market,B2B,Series A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
https://plusimpact.io/startups/alike,Alike,"The online platform Alike helps you to get going with all the things you else wouldn't do, you even get to meet people with common interests who live nearby. Simply pick an activity from the hundreds of activities we find good to do with others, set a given time and place and automatically get matched up with people to play badminton with, play board games, go for a run or something else that you find interesting.","3_goal,",Aarhus,https://www.wearealike.app/,2017,01-???,"Healthcare & Life Science, IT & Software, Advertising, Sales & Marketing",Product or prototype,B2C,Bootstrapping,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://plusimpact.io/startups/brix,Brix,"Educated at Central Saint Martins College of Art and Design in Fashion womenswear, Maja Brix spent eight years as head designer for Henrik Vibskov Femme, before launching her own label in 2016. Sustainability plays a significant role at Brix’s company – not only are all of her products created from environmentally-friendly materials, but every aspect of her company is also structured around the sustainable model. She designs clothes for both men and women, and is mostly known for her organic cotton shirts and suits.","11_goal,12_goal,17_goal,",København,https://majabrix.com/,2016,01-???,"Consumer Goods, Retail, Fashion & Living",Go to market,B2C,-,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/nature-preserve-1,Nature Preserve,"Nature Preserve is a food tech company that explores how to re-engineer surplus fruits and vegetables into a range of healthy food products. Our mission is to minimize food waste and maximize access to healthy products. Almost 50% of all the fruits and vegetables produced in the world are not consumed and over 60% of this waste occurs in the supply chain, losing 220 billion dollars every year. We are fighting food waste with proprietary processing technology that enables re-engineering surplus fruits and vegetables into a natural, shelf- stable ingredients with high nutritional value that can be further used for various purposes in the food industry.","3_goal,12_goal,13_goal,",Søborg,https://www.naturepreserve.co,2018,01-???,"Consumer Goods, Agriculture, Food & Beverage, Science & Engineering",Product or prototype,B2B,Seed,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
https://plusimpact.io/startups/sustainlab,SustainLab,"SustainLab is a Sustainability Intelligence Company that creates next generation technology to help businesses gather, process, and understand their sustainability data. SustainLab’s mission is to enable decision-makers to achieve impactful sustainability results with it’s innovative sustainability intelligence platform. This is done by making data handling so simple that companies can have visibility of sustainability data as often as financial data and review it in every management team meeting, instead of reviewing the performance once yearly. Powered by unique technology and shaped with a focus on impact, SustainLab aims to accelerate change for Better business - Better planet.","8_goal,11_goal,12_goal,",Sweden,http://www.sustainlab.co/,2020,01-???,SaaS,Go to market,B2B,Pre-seed,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
https://plusimpact.io/startups/skyline-card,Skyline Card,"In the US alone, only 1 trillion business cards are printed each year. We would like to put an end to the waste of paper. That's why we are introducing you, for future business cards. Skyline Card is an electronic business card combined with NFC technology, where the card contains a link to one's profile. Skyline Card includes: - Pictures - Videos - Google Maps - Direct add on the phone - People can sell their product or service directly on their business cards And much more! We are cheaper, more environmentally friendly and Skyline Card can even sell your products.","6_goal,15_goal,",Herning,http://www.skylinecard.dk,2020,01-???,"Fintech, SaaS, Service, Advertising",Go to market,B2B,Bootstrapping,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
https://plusimpact.io/startups/pisara-learning,Pisara Learning,"Our vision is to make a new generation of user interfaces. Our applications will be easy to use and at the same time we will produce truly unique features which have never been seen before . Our vision is to create the finest user interfaces for stylus pens in the world. Our problem is “How to enhance learning thoroughly?” Every educational scientist is solving this same problem. Based on the knowledge we have on human learning we are very keen to find out what possibilities technology has to offer? Can learning be quantified, analyzed and enhanced with machine learning? Also our daily observations show us that there are a lot of management tasks which take take time both from teachers and students and the focus moves from learning to management. Therefore we dare to present another problem we are chasing: “How digital technology can support learning in ways that it makes learning easier, more motivating, less-dependent of teacher´s presence and approval''. Our solution: The user interfaces created by Pisara Learning offer intuitive ways to learn through digital devices. Our concept for learning is called Puro. Puro is easy to approach and use. It has unique properties: - Personalized assignments - Automated exercise checking - Learning analytics and tools for evaluation - Digital drawing made as simple as taking notes or drawing on paper Our features: Data collection Pisara is strongly utilizing the use of modern data collection. The solutions in edtech software robotics market do their best to automate - evaluation - creating assignments - giving feedback AI solutions Pisara AI solutions concentrate particularly in automated assignment creation. We are building an assignment library from where AI can pick suitable tasks for each user individually. This will be a first of a kind product in the world of edtech. Machine learning OCR Pisara Learning is developing machine learning OCR (optical character recognition). Pisara OCR is used specially for recognizing personal handwriting and also numbers and mathematical symbols. Pisara OCR is first-of-a-kind since it is taught to recognize all kinds of drawing and thinking with pen.","4_goal,",Helsinki,https://www.pisaralearning.com/,2019,01-???,"Education, IT & Software",Product or prototype,B2G,Pre-seed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
https://plusimpact.io/startups/clowid,ClowID,"Statistics show that approximately 90 percent of paper receipts end up in the trash can. Most people part ways with their receipts shortly after collection, and many others can’t remember where they kept it if they did at all. Paper receipts contain BPA or Bisphenol A, a plastic component which is harmful for the health and cannot be recycle, in addition to this the environmental impact of its production, where in Europe, over 13 million trees and 17 billion gallons of water are consumed each year in the creation of paper receipts, generating 2.500 billion tons of waste and 4 billion tons of CO2. ClowID is an innovative solution, a full stack Customer engagement platform that connects merchants and end customers through Smart Receipts. For final consumer a free app to save receipts and warranties in one place, without disclosing personal information, no email, no phone, no name, while providing more personalised experience. For merchants one click installation software with no initial development costs, to reduce environmental impact and costs while increasing their customer insight, improving digital transactions, in-person customer experiences, increasing customer engagement and loyalty. We have a golden opportunity to make a positive impact on our planet, the future is now!","12_goal,13_goal,15_goal,",Sweden,https://www.clowid.com/,2018,01-???,"Fintech, SaaS",Go to market,B2B,Seed,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/vapausio,Vapaus.io,"Vapaus.io makes carbon-neutral mobility a reality for metropolitans. Our shared B2B2C-electric vehicles and classic bicycles as a service turnkey solution provides the best travel experience in cities. Bring us daily travel problems of your community, we will deliver a sustainable solution that makes you smile. We started to build our sustainable mobility platform at the beginning of 2018. Currently, we act as a carbon-negative mobility operator on our own platform serving nearly 20 corporate and community customers. Some of the most well-known companies in Finland e.g. YIT, Fortum, Supercell and Wärtsilä are already our clients. In a bigger perspective we are building a sustainable mobility platform which will be integrated seamlessly into built and digital environment. Vapaus will play an important part in mobility ecosystem as a missing puzzle in the MaaS-promise. In the future our actions will result as a great user experience, model example of circular economy and positive impact for people, society and the planet. If you are interested in joining us as an investor in order to make a difference together, please contact Tatu either by phone + 358 40 770 7452, email tatu@vapaus.io or Telegram @tatumakila. Thank you!","11_goal,12_goal,13_goal,",Helsinki,https://vapaus.io/,2018,01-???,Service,Go to market,B2B,Seed,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/sjosaker-seaweed,Tekslo Seafood,"Where The Atlantic Ocean meets the Northern Sea, and along the coast of Norway, lies an under-used and fairly unknown natural resource. Our forefathers sustained themselves from the ocean for thousands of years, and for them seaweed was a vital source of vitamins and minerals. All of us that started Tekslo were raised by the ocean, and together we share a dream of creating a more sustainable Earth and reverse the trends on food and health – as we introduce seaweed to the world. Our harvesting areas are located in the sea close to Tekslo lighthouse, west of the island Tofterøy on Sotra. With its perfect currents, clean, clear and high-nutrient water, no fish farming or other pollutants, it is an optimal site for finding high quality seaweed! We harvest wild seaweed by hand from reefs, rocks and islets close to the coast. This allows us to only and carefully collect the best quality. We then dry the seaweed in our custom-designed room, which is built inside a traditional boathouse.","2_goal,11_goal,12_goal,",Norway,https://teksloseaweed.no/,2016,01-???,"Consumer Goods, Marketplace & eCommerce, Food & Beverage",Product or prototype,B2C,-,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
https://plusimpact.io/startups/ioncell,Ioncell,"Ioncell® is first and foremost a research project. Our researchers from Aalto University and the University of Helsinki have been developing the Ioncell technology for nearly ten years. Ioncell® is a technology that turns used textiles, pulp or even old newspapers into new textile fibers sustainably and without harmful chemicals. The process converts cellulose into fibers which in turn can be made into long-lasting fabrics. The Ioncell® process uses a novel solvent called ionic liquid. It’s an environmentally friendly solvent that can be recycled and isn’t flammable like many others. Ioncell® fibers feel soft and are strong even when wet. They’re tenacious and work well in both clothing and technical applications. The Ioncell® process could revolutionize the recycling of textile waste. It enables waste textiles to get a new life as high-quality fibers.","9_goal,12_goal,13_goal,",Helsinki,https://ioncell.fi/,2017,01-???,"Consumer Goods, Manufacturing, Science & Engineering, Fashion & Living",Idea,B2B,Pre-seed,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
https://plusimpact.io/startups/wellguard,WellGuard,"A New Industry Standard for Barrier Verification & Monitoring of Abandoned Wells. Wells shall be plugged with an eternal perspective, WellGuard makes it possible having a risk based P&A approach with safety and protection of the environment as number one priority.","14_goal,",Tyssedal,http://www.wellguard.no/,2015,01-???,"Service, Science & Engineering, IoT",Idea,B2B,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/weed-fighter,Weed Fighter,"Pesticide-free weed control. Weed Fighter works with innovative technology that combats weed-free pesticide-free, climate-friendly and efficient Our technologies consist partly of a method of heating and a non-toxic accelerator, and partly of microwaves. he heating is done by means of steam generated by a new and efficient method. By using steam we ensure that the temperature is always lower than the ignition temperature for dry plant material. Therefore, you can also use Weed Fighter on areas with dry material","15_goal,",Gedved,https://weed-fighter.dk/,2016,01-???,"Energy & Greentech, Healthcare & Life Science, Science & Engineering",Product or prototype,B2B,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/vegobox,Vegobox,"Discover new & unique vegan products. We are convinced that a plant-based lifestyle is the way to a better future for both humans, animals and our planet. The world should not have to suffer just for us to live well - therefore all products in our boxes are vegan and cruelty-free. Vegobox is a monthly subscription box that makes it easy for anyone to discover and enjoy vegan products. If the range of vegan products is limited where you live, or you are simply curious to try new exciting vegan goodies, Vegobox is the perfect box for you. Our vision is to make the vego way easier and more fun for you by inspiring boxes packed with exciting vegan non-animal-tested news that embraces everyday life. Never again will you have to compromise taste and quality or have a boring selection as a vegan!","12_goal,",Sweden,https://vegobox.com/,2017,01-???,"Consumer Goods, Healthcare & Life Science, Food & Beverage",Product or prototype,B2C,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/vegafish,Vegafish,"Vegafish - Sustainably grown, delicious seafood We love good food. And we care about the environment. Many people think that you have to choose between good food or good conscience, but we know that you can get both. Our good and healthy seafood is Swedish-grown through a unique process in a closed, land-based system of seawater and bioflocks without environmental and health-hazardous chemicals or antibiotics. We offer exquisite flavors grown with care and intelligence, developed in Sweden for the benefit of the whole world. We work for a healthier sea and better food. With smart and sustainable methods, we grow seafood for conscious customers who are interested in good food and care about the environment. Our shrimp have sprung from our unique process and one of the world's most stringent environmental and animal welfare legislation to offer a smart and delicious choice to anyone who wants sustainably produced seafood.","14_goal,",Rosenlund,https://vegafish.com/,2019,01-???,"Consumer Goods, Food & Beverage",Idea,B2B,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/urbanfeed,UrbanFeed,"Large scale food productionGrow your own fish and vegetables – GROW YOUR CITY! The demand for healthy food and sustainable ways of production around the globe is enormous. Markets and people are demanding smart solutions for food production, especially in smart cities. UrbanFeed delivers smart integrated units for large scale, year round sustainable production of fish and greens – with minimum use of energy, minimum waste and close to zero CO2 emissions.","12_goal,",Norway,http://urbanfeed.no/about,2015,01-???,"Consumer Goods, Healthcare & Life Science, Food & Beverage",Product or prototype,B2B,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://plusimpact.io/startups/trndz,Trndz,"Trndz.ai is an operational historian and business intelligence tool that helps you think and communicate fact based insights. We build, operate and bring to market the cloud service Trndz.ai, aimed to provide humans involved with industrial production data-powered tools to gain insight and cut waste - in the form of energy, raw materials or man-hours. We see planet earth as a world with a fixed amount of resources, and a bright future ahead where our dwelling is supported by resources sustainably circulating through our ecosystems, powered by the sun - and the ingenuity of man. We want to contribute getting there by helping our customers reveal the lean path to happiness, harmony and cash dividend.","12_goal,",Norway,https://www.trndz.ai/en/,2015,01-???,"IT & Software, Service, Science & Engineering, IoT",Idea,B2B,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
