Link,Company,About,Location,Website,tags,line,,,,,
https://finder.startupnationcentral.org/company_page/medhub-ai,MedHub-AI,"MedHub-AI develops deep-learning video analysis algorithms that provide accurate diagnostic insights and practical guidance for physicians. The company’s algorithms can be incorporated into medical video systems to improve the decision-making process for cardiologists and other physicians.
The company’s technology uses multiple technological and big-data processing methods that are designed to handle a massive amount of clinical data, both visual and textual. MedHub-AI’s algorithms are designed to improve physicians’ performance and shorten procedure times by providing a multilayered automated system that is implemented from diagnosis to practical procedural guidance and documentation.
MedHub-AI currently offers solutions for the cardiology and gastroenterology markets.
In September 2020, the company’s AutoCathFFR system was certified to bear the CE mark, signifying compliance with the European Union’s health and environmental safety regulations.
",ISRAEL,https://www.MedHub-AI.com,"cardiology,digital-healthcare,gastroenterology,machine-learning,diagnostics,artificial-intelligence,big-data,video-analytics,deep-learning,medical-data,decision-making,non-invasive,decision-support,data-analytics,predictive-analytics,healthcare-providers,insurance-companies,hospitals,",Video Analysis Diagnostics,,,,,
https://finder.startupnationcentral.org/company_page/gmunch,Gmunch,"Gmunch is an eCommerce platform where users can sell their cooked food, groceries, and fresh produce. Users can post photos of and receive payment for their goods on the platform and then deliver them to the buyer.
Gmunch aims to reduce food waste and promote sustainability by helping people share their surplus with others.
",ISRAEL,https://gmunch.com/,"marketplace,web-platform,sustainability,trading,social-impact,social-networks,search-engine,supply-chain,farm-to-consumer,ecommerce,online-shopping,foodtech,food-ecommerce,community,farmers,consumers,restaurants,",Online Marketplace for Prepared Food and Fresh Produce,,,,,
https://finder.startupnationcentral.org/company_page/ownbackup,OwnBackup,"OwnBackup provides cloud data backup solutions. With comprehensive backup, visual compare, and fast recovery capabilities, OwnBackup helps organizations through data loss and corruption crises. The company's solution also provides enterprises with performance and reporting to meet compliance regulations in a number of industries. It provides secure, automated, daily backups of SaaS and PaaS data, including Salesforce, ServiceNow, and Slack.
OwnBackup's solutions provide built-in protection against data loss and corruption caused by human error, malicious intent, integration error, and rogue applications.
OwnBackup is the top-ranked backup and restore ISV on the Salesforce.com AppExchange, a venue the solution has been listed on since 2012, and has gained recognition as a Gartner ""Cool Vendor"" in Business Continuity and IT Disaster Recovery.
",ISRAEL,http://www.ownbackup.com,"saas,cloud-based,disaster-recovery,enterprise-security,enterprise-systems-integration,business-continuity,enterprise-solutions,backup,paas,data-protection,cloud,",Cloud-to-cloud Backup Solutions,,,,,
https://finder.startupnationcentral.org/company_page/hibernating-rhinos,Hibernating Rhinos,"Hibernating Rhinos is the developer of the RavenDB database system and a suite of profilers to monitor, inspect, analyze, and suggest improvements to database access patterns in users’ applications. Its distributed replicated file system, RavenFS, manages distribution of very large files.
RavenDB is a non-relational solution that is fully transactional across the entire database. Its latest release, RavenDB 4.2, capitalizes on NoSql by ramping up performance by 10 times over the last release. It also features a high-availability data cluster along with a UI, an easy-to-install setup wizard, and security to protect users’ private information.
Hibernating Rhinos also offers RavenDB Cloud, a fully managed cloud database that can be set up in minutes.
",ISRAEL,https://ravendb.net/,"microservices,debugging,management-solutions,database,software-development,business-intelligence,cloud-services,developers,",Database Systems and Tools,,,,,
https://finder.startupnationcentral.org/company_page/weeedrive,WeeeDrive,"WeeeDrive is a mobile app using behavioral science to influence the way young people drive. WeeeDrive creates customized driving courses for each driver according to their personal capabilities and instructs them in real time on every ride.
WeeeDrive aims to improve driving skills and reduce insurance claims and premiums.
",ISRAEL,https://www.weeedrive.com/,"big-data,machine-learning,edtech,smart-mobility,artificial-intelligence,driver-safety,safety,training,mobile-applications,insurtech,behavior-analytics,drivers,insurance-companies,",AI-powered Driver Training Platform,,,,,
https://finder.startupnationcentral.org/company_page/silverlive-innovative-appliances,Silverline Innovative Appliances,"Silverline Innovative Appliances' venture is based on a patent that allows users to expand the sweeping surface of cleaning tools on the go. The company's line of products consists of cleaning tools such as brooms, squeegees, flat mops, rakes, and vacuum cleaner heads.
The company's first product is BroomX. It is an expandable broom that enables users to change its sweeping width by moving the sleeve up and down, allowing the sweeping surface to contract to fit into narrow spaces or expand in larger spaces.
",ISRAEL,https://silverline-ia.com/,"cleaning-products,consumer-goods,home-appliances,",Expandable Cleaning Tools,,,,,
https://finder.startupnationcentral.org/company_page/netop-cld,NetOp CLD,"NetOp is developing an autonomous network operation SaaS, simplifying operations of emerging enterprise networking architecture. NetOp automatically optimizes the network settings using machine learning without disrupting overall service and while reducing manpower and operating costs.
",ISRAEL,http://www.netop.cloud,"saas,enterprise-networks,machine-learning,cloud-based,artificial-intelligence,automation,enterprises,",Autonomous Campus Enterprise Network Operations,,,,,
https://finder.startupnationcentral.org/company_page/e-qure,E-Qure,"E-Qure is the developer of the Bioelectrical Signal Therapy (BST) Device, which treats wounds via electrical stimulation. The BST Device stimulates blood flow and oxygen in order to induce local cell regeneration and promote wound healing.
The company’s technology is designed to accelerate wound healing by imitating the natural electrical current that occurs in injured skin on the human body. The BST Device uses electrodes affixed on opposing sides of the wound to emit an electrical field and mimic the electrochemical physiology principle, inducing local cell regeneration.
The BST Device is positioned to treat very severe wounds, including pressure ulcers, diabetic ulcers, and venous ulcers. The product is targeted toward the treatment of chronic wounds in hospitals, nursing homes, and home-care settings.
",ISRAEL,http://www.e-qure.com/,"pain-free,treatments,medical-devices,non-invasive,ulcers,wounds,hospitals,clinics,",Bioelectrical Signal Therapy Device for Chronic Wounds,,,,,
https://finder.startupnationcentral.org/company_page/green-invoice,Green Invoice,"Green Invoice enables freelancers and companies to produce and send digitally signed invoices, receipts, price quotes, and more from any computer connected to the internet, with no need to print.
",ISRAEL,http://www.greeninvoice.co.il,"software-applications,web-application,business-management,fintech,payments,accounting,eco-friendly,invoices,enterprise-solutions,billing,digital-signature,smb,freelancers,",Digital Invoices and Payment Solutions for Small Businesses,,,,,
https://finder.startupnationcentral.org/company_page/nrgene,NRGene,"NRGene is a genomics company that provides turn-key software solutions for agricultural breeding companies. Using advanced algorithms and extensive proprietary databases, the company enables breeders to achieve higher quality and more productive yields.
The company has assembled over 500 genomes for dozens of species including wheat, corn, soy, tomato, cannabis, cattle, and rainbow trout.
NRGene's tools have been implemented by agricultural biotechnology companies and academic research teams worldwide. NRGene collaborates with more than 100 customers, ranging from small companies to large corporations like Syngenta, Bayer, BASF, and Toyota, as well as many academic institutions.
",ISRAEL,http://www.nrgene.com,"biotechnology,big-data-analytics,bioinformatics,software-applications,crops,livestock,agtech,smart-farming,foodtech,plant-genomics,cannabis,genomics,breeding,genetics,agriculture,food-and-beverage,",Genomics Solutions for Agricultural Breeders,,,,,
https://finder.startupnationcentral.org/company_page/agora,Agora,"Agora offers an all-in-one investment management platform integrated with an investor portal for real estate GPs and LPs. The solution is designed to help companies raise and preserve more capital by automating back-office operations, increase investor satisfaction, and provide advanced research and reporting tools for better marketing efforts.
",ISRAEL,https://agorareal.com,"real-estate,fintech,saas,big-data,proptech,investments,investors,",Investment Management Solution,,,,,
https://finder.startupnationcentral.org/company_page/omniss,Omniss,"Omniss is an online trading platform that connects traders and investors while optimizing trading using an algorithm. The trading is done automatically thorough the user's investment account. Instead of analyzing the markets, the company's algorithm analyzes traders and automatically decides which traders to follow.
",ISRAEL,https://www.omniss.co/,"portfolio-management,mobile-applications,investments,fintech,trading-and-investing,web-platform,",Social Trading Platform,,,,,
https://finder.startupnationcentral.org/company_page/cannassure,CannAssure Therapeutics,"CannAssure Therapeutics produces medical cannabis in order to provide the highest-quality cannabis extracts and derivatives to the pharmaceutical industry. The company has a proven track record and broad knowledge base to offer fully labelled and standardized products that are produced under the strictest quality standards.
CannAssure has adopted high-scale production capabilities, advanced process engineering, and the distribution network of its parent company, Solbar Food Technologies.
",ISRAEL,http://www.cannassure.life/,"botanical-extracts,botanical-pharma,seeds,cultivation,natural-drugs,cannabis,medical-products,medical-cannabis,pharmaceuticals,",Medical Cannabis Products,,,,,
https://finder.startupnationcentral.org/company_page/xtate-ai,Xtate.ai,"Xtate.ai is the developer of a new wearable identification, friend or foe system called Blue-Suit. The system detects the direction of the weapon. If a threat is detected, the system alerts the user in real time. The threatened soldier gets a strong signal warning that they are in range of immediate danger.
",ISRAEL,https://xtate.ai,"rf-technology,security,safety,homeland-security,sensors,military,","Wearable Identification, Friend or Foe System",,,,,
https://finder.startupnationcentral.org/company_page/brandmark,Brandmark,"Brandmark is developing blockchain technology that enables the tracking and testing of batches randomly along the supply chain, thereby providing assurance that products are safe for use and creating a bond of trust between the brand and the consumer.
Brandmark is a joint venture between Emurgo, a global blockchain solutions provider, and Blackbird, an Israeli-based venture capital and private equity firm.
",ISRAEL,https://www.brandmarktrace.com/,"logistics,supply-chain,tracking,trading,procurement,packaging-and-containers,retail,blockchain,mobile-platform,pharma-companies,traders,farmers,food-and-beverage,automotive,agriculture,manufacturing-facilities,",Blockchain-based Supply Chain Solutions,,,,,
https://finder.startupnationcentral.org/company_page/algolion,ALGOLiON,"ALGOLiON has developed early-warning smart diagnostic software to extend the life of lithium-ion batteries and prevent safety hazards. The company's AlgoShield software solution is designed to prevent lithium battery safety and fire hazards for various markets including electric vehicles, portable electronics, medical devices, and aviation.
Using patented algorithms, AlgoShield provides alerts about safety risks up to a week before they could develop into a fire. This enables sufficient advance notice for optimal management of the safety risks, without the need for supplementary hardware. The technology has also been demonstrated as an app for smart phones and tablets and can be white labelled for enterprise platforms.
ALGOLiON's solution can facilitate faster charging, operation in extreme conditions, and more reliable high-power use. The technology can improve users' return on investment by extending batteries' service life and save money by protecting users' products, people, and profits.
",ISRAEL,http://www.algolion.com/,"notifications,safety,electro-chemical-batteries,energytech,electric-vehicles,data-analytics,batteries,environmental-technologies,predictive-analytics,alert-system,lithium-ion-batteries,smart-mobility,software-applications,early-detection,consumers,aviation,defense,automotive,",Lithium-ion Battery Diagnostics,,,,,
https://finder.startupnationcentral.org/company_page/algopix,Algopix,"Algopix offers a comprehensive cross-channel product research solution that provides the eCommerce community with data to make informed business decisions.
Using machine learning and artificial intelligence, Algopix automatically enhances merchants' catalogs and provides information such as what products to sell, where to sell them, how many units are expected to sell, and the expected price point per channel.
Launched in 2017, Algopix currently helps more than 30,000 merchants grow their businesses and increase their sales volume and margins while reducing overstock.
",ISRAEL,https://www.algopix.com,"price-comparison,pricing,data-analytics,market-research,marketing,sales,business-intelligence,ecommerce,web-platform,online-retailers,",Cross-channel Product Demand Analysis,,,,,
https://finder.startupnationcentral.org/company_page/check-cap,Check-Cap,"Check-Cap develops colorectal cancer (CRC) screening and prevention solutions through the introduction of C-Scan, a patient-friendly preparation-free test that can detect polyps before they transform into cancer. The company's capsule-based screening technology aims to drastically increase screening adherence worldwide and help millions of people stay healthy through preventive CRC screening.
The technology has been evaluated in a pilot study in the United States and has received regulatory approval for marketing in Europe and Israel. Data from clinical trials showed promising results, including safety, high patient compliance, and high sensitivity at detecting precancerous polyps when the technology was compared to the FIT test.
The C-Scan System utilizes an ultra-low-dose X-ray capsule; an integrated positioning, control, and recording system; as well as proprietary software to generate a 3D map of the inner lining of the colon. C-Scan is patient friendly and requires no preparation or sedation, allowing patients to continue their daily routine with no interruption as the capsule is propelled through the gastrointestinal tract by natural motility.
",ISRAEL,http://www.check-cap.com,"non-invasive,colonoscopy,diagnostics,gastroenterology,x-ray,digital-healthcare,cancer,imaging,colon,detection,3d-technology,screening,medical-technologies,medical-image-analysis,disposable,medical-devices,patients,hospitals,doctors,",Preparation-free Polyp Detection,,,,,
https://finder.startupnationcentral.org/company_page/ezbra,EZbra Advanced Wound Care,"EZbra Advanced Wound Care is the developer of EZbra, a patented, sterile, disposable bra for advanced postoperative wound care. EZbra addresses the difficulty and discomfort many post-op patients experience with current breast-wound dressings.
EZbra offers a tailored solution for each patient and their specific breast shape and requirements. It is an all-in-one product designed for the many needs and challenges created by breast procedures including biopsies, lumpectomies, mastectomies, reconstructions, and aesthetic procedures. EZbra is a class-1 (exempt from 510k) medical device in the United States.
EZbra was founded by Efrat Roman, a breast cancer survivor and the founder of CureDiva.com, a social commerce website for women dealing with breast cancer. The company is a women-led start-up and part of the emerging FemTech industry, which focuses on women's healthcare and wellness.
",ISRAEL,http://www.ezbra.net,"wounds,women-health,surgery,disposable,medical-products,cancer,aesthetics,medical-devices,hospitals,surgeons,women,doctors,",Disposable Bra for Postoperative Wound Care,,,,,
https://finder.startupnationcentral.org/company_page/assembrix,Assembrix,"Assembrix has developed a SaaS platform for 3D printers that is designed to maximize manufacturing efficiency and minimize costs. The company's solutions incorporate software tools that improve the speed, cost, and quality of 3D printouts.
The platform allocates and monitors manufacturing spaces of industrial 3D printers to multiple in-house users or external clients, leading to a fully automated and self-controlled process, higher utilization of the printers, and higher ROI.

",ISRAEL,http://www.assembrix.com/,"industrial-technologies,manufacturing,cloud-based,virtualization,automation,additive-manufacturing,saas,3d-technology,printing,industry-4.0,operations-optimization,automotive,aerospace,3d-technology,manufacturing,virtualization,",Virtualizing 3D Printers,,,,,
https://finder.startupnationcentral.org/company_page/dreams-magic,Visor-AR,"Visor-AR develops a smart, integrated wide-angle-display motorcycle helmet. This HUD for motorcyclists presents information on the rider's helmet visor during the ride.
The Visor-AR platform is comprised of the helmet (as an off-the-shelf product) and an application—a smart algorithm that links the helmet with the rider's mobile device. The app is compatible with a variety of mobile platforms.

",ISRAEL,http://www.visor-ar.com,"sensors,mobile-applications,safety,augmented-reality,wearable,smart-devices,infotainment,smart-mobility,virtualization,driver-safety,motorcycles,user-experience,optronics,drivers,automotive,",Motorcycle Helmet with AR Display,,,,,
https://finder.startupnationcentral.org/company_page/commonsense-robotics,Fabric,"Fabric is a logistics platform that aims to make on-demand eCommerce possible, profitable, and sustainable for retailers while powering retailers' unique offerings. The company builds multi-tenant and private networks of automated micro-fulfillment centers that position automation physically close to end customers.
Fabric's purpose-built proprietary solution enables cloud-like elasticity for retailers, providing them with flexibility to build a custom solution based on their unique inventory level, desired reach, and operating and capital expense requirements, expanding and flexing as their needs change. The company's solution has been deployed commercially since 2018 and is production proven.
",ISRAEL,http://www.getfabric.com,"inventory-management,supply-chain,foodtech,logistics,robotics,industry-4.0,data-analytics,delivery,ecommerce,artificial-intelligence,enterprise-solutions,food-ecommerce,smart-city,online-shopping,online-retailers,retailers,",On-demand Logistics Platform,,,,,
https://finder.startupnationcentral.org/company_page/become,Become,"Become is a leading business funding platform designed to help small to medium-sized businesses find and optimize their funding solutions.
The company uses its proprietary technology to nurture each business throughout the funding cycle. Business owners receive a unique financial profile called a LendingScore, which they can use to learn funding essentials to improve their funding odds, unlock new funding opportunities, compare funding solutions, and claim the best funding solution for their situation.
Become is growing rapidly, with nearly 200,000 business owners registered through its platform. The company has built an ecosystem of more than 50 leading lenders and fintech partners, including Funding Circle, OnDeck, Kabbage, Headway, and Paypal, and it has facilitated over $200 million in tailored business loans to date.
",ISRAEL,https://www.become.co,"digital-broker,fintech,lending-and-financing,marketplace,artificial-intelligence,enterprise-solutions,web-platform,smb,",Funding Platform for SMBs,,,,,
https://finder.startupnationcentral.org/company_page/talentz,TALENTZ.io,"TAlENTZ is a recruitment platform for engineering and tech professionals that enables companies to acquire talent through discreet two-way communication with anonymous job seekers.
The company’s advanced matching system uses data tables, and the anonymity it provides allows applicants to be judged solely on their abilities and performance. The platform also aims to make passive job searches risk-free.
TALENTZ was developed by Get Busy.
",ISRAEL,http://www.talentz.io,"web-platform,job-search,search-engine,recruitment,hr,enterprise-solutions,",Job Search Platform,,,,,
https://finder.startupnationcentral.org/company_page/apm-automation-solutions,APM Automation Solutions,"APM Automation Solutions manufactures measurement instruments for bulk materials. The company’s flagship product, the 3D LevelScanner, takes the guesswork out of measuring the level, volume, and mass of stored materials with 3D mapping of the contents. The device can measure virtually any type of material stored in a wide variety of containers, including silos, large open bins, bulk solid storage rooms, stockpiles, and warehouses.
APM was acquired by Emerson Process Management in 2013, and it continues to operate under the Rosemount porfolio.
",ISRAEL,http://www.apm-solutions.com,"manufacturing,3d-imaging,measurement-and-testing,3d-technology,mapping,machinery,production,automation,oil-and-gas-companies,food-and-beverage,",3D Measurement of Bulk Solids and Powders,,,,,
https://finder.startupnationcentral.org/company_page/l7-defense,L7 Defense,"L7 Defense provides a solution that protects APIs and API-based applications inline while utilizing innovative unsupervised AI/ML technology. The company’s Ammune offers exceptional automation, superior threat coverage, and high visibility into API activity.
Ammune consists of three standalone modules: Ammune API-WAF, which secures APIs from threats detailed in the OWASP Top 10 list; Ammune API-Bot, which secures APIs from automated machine (bot) attacks detailed in the OWASP Top 20 list; and Ammune API-DDoS, which secures APIs against advanced applicative DDoS attacks aimed to take down APIs and, as a consequence, the applicative servers.
Ammune’s track record of safety and accuracy make it a natural choice for protecting APIs inline. Its high-quality protection has been proven repeatedly over the years at inline, on-premesis, and public cloud installations, often operating in extreme traffic conditions.
Ammune is deployed at companies in the financial, telecom, and SaaS sectors in North America, Europe, and the Asia Pacific Region.
",ISRAEL,https://www.l7defense.com/,"enterprise-solutions,behavior-analytics,deep-learning,network-security,website-security,cyber-security,ddos,application-security,enterprise-security,api,security,artificial-intelligence,homeland-security,data-centers,",Advanced API Protection Solutions,,,,,
https://finder.startupnationcentral.org/company_page/bitmint,BitMint,"BitMint is a technology hub developing solutions using the methodology of artificial-intelligence-assisted innovation, combining material sciences and computer sciences with financial insight.
The company focuses on cyber finance and secure exchange of value. BitMint has developed cyber-security solutions consisting of physical security products and software programs for protecting and recovering networks and communication and data centers. BitMint contributes to autonomous computing and cloud services and offers uninterrupted offline/online payment solutions.
BitMint's Purpose-Driven Tethered-Money technologies can be used for phone-pushed subsistence payments directly to banked and unbanked for boosting local and national economies, providing an economic safety net for every citizen, meeting the challenge of social distancing, preventing hoarding, eliminating shortages of necessities and alleviate liquidity crunches during lockdowns. BitMint deals also with Cyber security solutions for CoronaWar remoteness. Main areas: invulnerable cryptography, frictionless, secure, accountable payment, reliable shipping, identity management, and privacy measures
",ISRAEL,http://www.bitmint.com/,"fintech,cryptocurrency,network-security,artificial-intelligence,cyber-security,iot,connected-devices,cryptography,data-protection,quantum-computing,coronavirus,identity-verification,payments,privacy-protection,web-platform,digital-wallet,government,banks,financial-institutions,",Socially Conscious Quantum Cyber-security Solutions,,,,,
https://finder.startupnationcentral.org/company_page/arilou-technologies,Arilou Technologies,"Arilou Technologies offers cyber-security solutions for the automotive industry. The company's Security Agent solution is an intrusion detection and prevention system that can be integrated into a vehicle's existing CAN bus, blocking any attempt by devices on the network to send illegal or prohibited messages. Security Agent aims to secure all vehicles, regardless of how vulnerable or buggy their connected devices may be.
Arilou's CANpression solution is a compression and authentication solution that extends the CAN bus bandwidth, and thus its lifetime, and enables the addition of authentication such as SecOC into existing CAN traffic.
",ISRAEL,http://www.ariloutech.com/,"counselling-and-integration,autonomous-vehicles,security,vulnerability-assessment,detection,iot,smart-mobility,patent-pending,authentication,connected-vehicles,cyber-security,penetration-tests,automotive,",In-vehicle Automotive Cyber Security,,,,,
https://finder.startupnationcentral.org/company_page/nanolock-security,NanoLock Security,"NanoLock Security protects IoT and connected edge devices against persistent cyberattacks by insiders, outsiders, and supply chain attackers. The company provides a device-level solution using security by design. Its flash-to-cloud defense secures the entire chain of device vulnerability, from deeply embedded endpoints in the device to the cloud, without additional device costs and with zero computing power.
NanoLock’s patented technology secures a root of trust in the flash memory from leading memory vendors, with ironclad protection, secured firmware updates, reliable device-level alerts, and a cost structure that shifts security investments from CAPEX to OPEX. NanoLock’s clients include telecom, smart cities, utilities, industrial, automotive, and other sectors.
",ISRAEL,http://www.nanolocksecurity.com/,"cctv,cloud-security,smart-city,endpoint-security,cyber-security,security,hardening,industry-4.0,data-protection,smart-mobility,enterprise-security,iot,access-control,m2m,ransomware,connected-devices,critical-infastructure,enterprise-solutions,manufacturing-facilities,electric-utilities,enterprises,automotive,water-utilities,data-protection,authentication,",Connected and IoT Edge Device Protection and Monitoring,,,,,
https://finder.startupnationcentral.org/company_page/vanilla-vida,Vanilla Vida,"Vanilla Vida is developing a proprietary cultivation process designed to enhance natural ingredients and flavors. The company's mission is to make natural flavors more available and affordable while reducing food companies' dependence on synthetic materials, starting with vanilla.
",ISRAEL,https://www.vanillavida.com,"smart-farming,agtech,artificial-intelligence,biotechnology,image-processing,foodtech,food-and-beverage,agriculture,farmers,",Natural Flavor Enhancement,,,,,
https://finder.startupnationcentral.org/company_page/homeplan,HOMEPLAN+,"HOMEPLAN+ is a platform that supplies tools to help architects, suppliers, and the general public create, renovate, and build living spaces. With HOMEPLAN+, customers can browse, learn about, and purchase products and share their choices with designers, architects, and friends. HomePlan+ also enables architects and designers to research projects and create client portfolios.
",ISRAEL,https://homeplan.co.il/,"web-platform,management-solutions,retail,ecommerce,architecture,online-shopping,recommendations,crowdsourcing,design,real-estate,marketplace,construction,designers,",Home Design Marketplace,,,,,
https://finder.startupnationcentral.org/company_page/diagnostic-robotics,Diagnostic Robotics,"Diagnostic Robotics develops AI technologies for the healthcare industry. By integrating its products into existing systems, the company aims to make healthcare more effective, efficient, and affordable.
Diagnostic Robotics develops predictive analytics models to address pressing clinical and financial challenges in healthcare. The company's solutions enable healthcare systems to deliver more-effective care at lower costs.
Diagnostic Robotics' suite of products is currently in use at healthcare institutions, HMOs, and providers in Israel and the United States.
Diagnostic Robotics’ created a customizable triage system to assess and monitor individuals at risk for COVID-19. The platform enables governments to remotely monitor COVID progression at scale, and predict the spread of the virus.
The platform is currently being used by the Israeli Ministry of Health, Israel's emergency services (MADA) and all the HMO's in the country. Internationally, the platform has been implemented by the State of Rhode Island and in the State of Odisha, India, as part of a global collaboration with Salesforce and Deloitte.

",ISRAEL,https://www.diagnosticrobotics.com/,"diagnostics,data-analytics,remote-monitoring,artificial-intelligence,alert-system,decision-support,predictive-analytics,prediction,big-data-analytics,medical-technologies,coronavirus,monitoring,collaboration,digital-healthcare,machine-learning,emr,healthcare,prevention,government,healthcare-providers,insurance-companies,chronic-patients,patients,hospitals,",Predictive Healthcare Analytics,,,,,
https://finder.startupnationcentral.org/company_page/packetlight,PacketLight,"PacketLight Networks offers a suite of dense wavelength-division multiplexing (DWDM) and coarse wavelength-division multiplexing (CWDM) solutions for optical fiber communication. Its solutions enable the transport of data, storage, voice, and video applications over dark fiber and WDM networks.
Featuring high quality, reliability, and performance at affordable prices, PacketLight's products are distinguished by their low power consumption, ideal for customer located equipment. The company's solutions allow for maximum flexibility, as well as ease of maintenance and operation, and provide a pay-as-you-grow architecture.
PacketLight was acquired by RAD Technologies in 2004 and is now a member of the RAD Group.
",ISRAEL,http://www.packetlight.com/,"video,data-storage,broadband,network-optimization,telecommunication-equipment,telecommunication,optical-communication,enterprise-networking,encryption,enterprise-security,enterprises,data-centers,financial-institutions,",Optical Fiber Communication Solutions,,,,,
https://finder.startupnationcentral.org/company_page/accesstravels,Accesstravels,"Accesstravels develops travel solutions for people with physical disabilities. It is developing a community-based web platform for reliable, accessible worldwide tourism. Accesstravels will offer updated, in-depth, detailed information about topics such as tour agencies, accommodation, and transportation. The company will also provide lists and reviews of hotels, guides, excursions, travel bloggers, and accessible travelers' stories.
",ISRAEL,https://accesstravel.com,"accessibility,traveltech,user-generated,marketplace,booking,social-networks,web-platform,ecommerce,tourism,social-platform,recommendations,community,assistive-devices,disabilities,seniors,",Web Platform for Accessible Tourism,,,,,
https://finder.startupnationcentral.org/company_page/nexar,Nexar,"Nexar offers a community-based AI dashcam app that helps drivers protect themselves on the road. The technology provides documentation, recorded video, and situational reconstruction in case of an accident. The connected smartphone app issues warnings about road hazards and automatically records event data to a private, secure Nexar cloud account. An internal-camera mode also allows taxi or ride-sharing drivers to protect themselves from unruly or drunk passengers.
The Nexar solution employs machine vision and sensor fusion algorithms, leveraging the iPhone's sensors to analyze the car's surroundings. The depth of Nexar's on-device analysis, combined with recorded video, allows it to create a detailed accident report for insurance claims. The growing network of Nexar-connected vehicles also has the potential to warn drivers in real time about road hazards beyond their field of vision.
To support public officials monitoring the impact of COVID-19, Nexar is launching a new data product called Nexar Virtual Camera, which pulls a feed of frames from any location on the Nexar network.
",ISRAEL,http://www.getnexar.com/,"claim-management,connected-vehicles,safety,ridesharing,crowdsourcing,artificial-intelligence,video-management,risk-management,quarantine,mobile-applications,social-platform,computer-vision,smart-city,video-analytics,smart-mobility,sensors,fleet-management,cameras,insurance-companies,automotive,drivers,",AI Driving App for Road Safety and Event Recording,,,,,
https://finder.startupnationcentral.org/company_page/seamless-vision,Seamless Vision,"Seamless Vision is developing software that combines multiple sensory systems and, combined with deep-learning modules, can construct human-like perception of its surroundings to enable a complete urban autonomous navigation solution.
",ISRAEL,http://www.seamless-vision.com/,"smart-city,computer-vision,machine-learning,navigation,artificial-intelligence,sensors,autonomous-vehicles,robotics,smart-mobility,transportation,healthcare,deep-learning,big-data,micromobility,government,",Autonomous Navigation in Urban Areas,,,,,
