,Unnamed: 0,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
10,10,640 Labs,640labs.com,Rainmaking,"640Labs collects, stores and analyzes the agricultural data including weather and soil, and delivers it via cloud based platform to the farmers. The company built a plug-and-play wireless data tracking device to replace USB-stick collection methods which are normally used to collect field data.640Labs also provides analytics tool to farmers to make sense of these data. The company was acquired by Climate Corp in December 2014.",USA,2,People,2.1 AgTech for Sustainable Farming,Agricultural data platform,United States of America
11,11,6Grain,6grain.com,Rainmaking,"6th Grain Corporation provides a cloud-based software platform for farmers, governments, and institutional clients such as farm input suppliers and insurance companies to generate maps using data from multiple channels such as satellites, UAV, IoT devices etc. Offerings on the cloud-based platform include crop maps for wheat &amp; maize cropped areas using satellite, UAV, and sensor data, 6G Farmer Management Index map which is a map highlighting crop performance of maize crops independent of growing conditions, Seasonal Metrics which are maps generated using satellite and ancillary data for start, peak, and end of the season, 6G Ag-Risk Index which are reports generated using big data analytics for volatility of productivity and climate of cropped areas, and fertilizer advisory services using soil data for fertilizer prescriptions. It provides services currently in African and Asian countries.",Singapore,2,People,2.1 AgTech for Sustainable Farming,Software platform for data analytics using data from multiple channels,Singapore
12,12,720 Degrees,https://www.720.io/en/,Rainmaking,"720 Degrees is a cloud-based solution for monitoring the indoor environmental quality such as air quality, temperature, noise pollution, of smart infrastructures. Uses machine learning to automatically detect material emission, low relative humidity, recurring odors, rapid fluctuations in temperature and more. It collects & analyses data and then sends messages with suggestions to facility stakeholders on the required changes",Finland,8,Prosperity,,Monitoring the indoor environment prevents issues and improves quality in your facilities,Developed Markets
13,13,Aenarete,aenarete.eu,Rainmaking,Aenarete’s mission is to make Airborne Wind Energy a success story with small-scale “Wind Drones” and models.,Netherlands,7,Prosperity,7.2 Energy Sources,Designer and developer of wind drones,Netherlands
14,14,9Needs Pvt,http://9needs.com,Rainmaking,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,South Africa,1,People,1.2 Digital Records that Empower the World's Poor,using blockchain to develop identity and contracting systems to let South African childhood development programmes register children and provide reliable database,South Africa
15,15,Aavia,https://aavia.io/,Rainmaking,Aavia is an app for medication adherence. It helps in tacking pills and medications. The app syncs with its smart pill case to help take your birth control pill on time. It gives reminders and custom messaging. The case has a Bluetooth connection to track the pregnancy-related medication.,USA,5,People,,Say Hello to regular periods and happy you,
16,16,Aay's Village,https://www.aaysvillage.com,Rainmaking,"We welcome 150 young students to educate themselves in our Learning Lab, and we have recently initiated a plastic recycling project called Clean the Jungle.",Laos,4,People,,"We are a small team from all around the world, working to provide children in a jungle community in Laos with the tools they need to create the future they deserve.",Emerging Markets; Frontier Markets
17,17,Abra,https://www.abra.com/,Rainmaking,a Bitcoin-based remittance application,USA,1,People,1.1 Mobile connectivity for financial inclusion,a digital wallet which supports bitcoin and over 50 fiat currencies.,United States of America
18,18,AirFusion,airfusion.com,Rainmaking,"Airfusion is a airborne sensor data fusion and analiytics technology company. Airfusion's platform fuses pixel based data to extract information from sensors and then analyze it real time. These findings are integrated with enterprise systems of customers to enable them to protect infrastructural assets. Airfusion partnered with Stratpro, an aerospace services company to bring to market Windspect, a turbine blade inspection software and analytics service,",USA,7,Prosperity,7.1 Energy Access Solutions,Analytics tool for air borne sensor data,United States
19,19,aligned energy,https://goexplorer.org/low-carbon-data-center-cooling/,Rainmaking,"aligned energy uses a combination of techniques to cool data centers in a way that is both cost-efficient and more sustainable than traditional cooling systems. the data centres that support our online lives consume huge amounts of energy for cooling — almost 2% of the global electricity supply in 2015, resulting in great cost not only to the environment, but also to the businesses that run data centres. aligned energy offers improvements to the triple bottom line through 80% and 85% cuts in energy and water use respectively. its system has also been assessed as one of the most secure and reliable on the market, minimising chances of downtime, which can cost serious money and reputational damage in the industry. this solution was featured in keeping it cool market of the 2018 global opportunity report , and was selected based on the criteria of that report.",USA,7,Prosperity,7.4 Energy Enablers,low-carbon data center cooling,United States of America
20,20,Academias,https//academias.jimdo.com/,Rainmaking,ACADEMIAS It’s the first platform in Morocco and Africa that offers young and working students the possibility of obtaining a Bachelor degree online from home without moving to the university each time and having difficulties with their job schedule.,,4,People,,"Academias is gespecialiseerd in op maat training, opleiding en coaching.",
21,21,Acadia Harvest,http://acadiaharvest.com/,Rainmaking,Acadia Harvest Inc. (AHI) was formed in early 2011 to develop a land based indoor marine fish farm leveraging novel technologies to enhance recirculating aquaculture systems (RAS). Two marine biologists Chris Heinig and Tap Pryor developed a shared vision for a new Maine based aquaculture company that would address some of the technological challenges and market opportunities in the aquaculture industry. A few months later the founders invited business advisor Ed Robinson to become a full partner in the business.,USA,14,Planet,14.5 Sustainable Seafood Solutions,Producing high quality sustainable seafood.,United States of America
22,22,ACC Limited,https://www.acclimited.com/,Rainmaking,"acc’s green building centers facilitate low-cost, rural housing development in india, through promotion of sustainable materials, building techniques and locally trained workforce. the green building centers across india offer locally produced, easy-to-use and reasonably priced construction products. they also provide knowledge and training on how to manufacture and use these products in a rural context, and offer quality control of building products through their own quality labs. the centers also provide equipment which enables local builders to manufacture building products themselves, helping to reduce construction costs. the centers encourage the use of sustainable construction practices, such as including fly ash (a waste product from coal combustion) in concrete, to reduce the co2-intensive cement content. anyone who wants to design and build a new house or improve an existing one can come to a green building center for assistance. danish rashid – head of green building center business while the centers are initiated and supported by acc, the company does not invest its own money in setting them up. instead, each is financed by a local entrepreneur and supported by ngos as well as acc. why you should care 70% of the indian population still lives in rural areas, and face a huge shortage of affordable housing. acc aim to have one green building center in each of india’s 650 districts in order to encourage more sustainable rural development.",India,13,Planet,13.5 Decarbonised Buildings,green building centers encourage sustainable housing,india
23,23,aclima,https://aclima.io/,Rainmaking,"ultra-local air quality data is made accessible to all by equipping google street view cars with aclima’s mobile air quality sensing platform. aclima have partnered with google street view to collect high resolution air quality data. so far, more than 100 million data points have been collected from more than 110,000 km of roads in california and denver. the cars collect measurements of air pollutants that affect human health and impact climate change. by making new environmental air quality data available to regulators and policymakers, the initiative aims to inform decision-making at all levels. the data will also be made available to scientists and air quality experts. in addition, the public will be able to view street-level air quality maps overlaid on google earth and google maps. why you should care globally, air pollution is a growing threat to human health and the environment. who recently declared outdoor air pollution a public health emergency, with untold financial implications for governments. despite this, current measurement techniques lack the detailed and real-time accuracy required to better manage and mitigate pollution at the local level. the partnership between aclima and google to map californian communities presents an experiment to explore the benefits of hyper-local air quality data.",USA,13,Planet,13.9 Mitigation Enablers,using google street view cars to map air pollution,United States of America
24,24,"Acopio, Inc.",http://www.acopio.org/,Rainmaking,"Acopio offers tools that facilitate significant efficiency gains in cash crop industries, increase the incomes of small–scale farmers around the world, and capture source information digitally through their simple yet innovative app.",USA,2,People,2.2 Digital technologies for Smallholder Farmers,Social network to extend your professional networking,Nicaragua
25,25,Active Hub,http://www.ayephub.co.ke/,Rainmaking,"Active Hub is designed to solve the twin problems of youth unemployment and employability through mentorship, incubation and investment in innovative social enterprise start ups.",,8,Prosperity,,"Tackling youth unemployment and employability through mentorship, incubation and investment in innovative social enterprise start ups",
26,26,Altaeros,http://www.altaerosenergies.com/,Rainmaking,Altaeros mission is to deliver the next generation of infrastructure to rural and isolated communities. We combine proven technology with flight control innovations that enable cost effective autonomous deployment of tethered airborne platforms. At heights above 200m a wide range of applications become attractive. These include telecommunications power generation and technology enabled agricultural services. Leveraging its patented technology Altaeros has eliminated the need for manpower to constantly monitor and control stationary airborne platforms. We provide a cost effective reliable and environmentally friendly solution for any application that benefits from a durable stationary mid elevation platform.,USA,7,Prosperity,7.2 Energy Sources,The next transformation in rural infrastructure efficiency,United States of America
27,27,Altaeros Energies,http://www.altaerosenergies.com,Rainmaking,"Altaeros is making remote wind energy possible by developing a patent-pending airborne wind turbine based on proven aerospace and wind technology. Using a helium-filed shroud adapted from the aerospace sector, the Altaeros turbine safely harnesses the immense, untapped potential of high-altitude winds. A stronger wind resource and lower installation costs will allow Altaeros to lower the cost of energy by up to 65% compared to existing diesel generators or other renewable technologies.",USA,7,Prosperity,7.1 Energy Access Solutions,"Altaeros adapts proven aerospace technology to develop a low cost, rapid deployment wind turbine.",United States of America
28,28,Addis Ababa’s light-rail,https://goexplorer.org/light-rail-promotes-green-transit-in-ethiopia/,Rainmaking,"addis ababa’s light-rail system brings efficient public transit-oriented development to ethiopia, reducing co2 emissions and commuting times in a growing city. in september 2015, addis ababa launched its much-anticipated 34-km light-rail system. expected to carry 60,000 people per hour in all directions, and handle one million commuters every day once fully operational, the project has been designed to make commuting easier for the city’s nearly four million residents. funded largely by china railway group, the project is part of the city’s larger, longer-term vision of growth and development. the light-rail line enables the ethiopian capital to manage and shape its development along transit routes, meaning less congestion, less co2 emissions from transport, and more efficient commutes for residents. why you should care addis ababa is one of the fastest-growing cities in the world , and adequate public transit is crucial to ensure the city can manage its expected future growth. this light-rail project provides an important foundation, giving the ethiopian capital a firm transit structure so that future development can occur alongside existing transit routes, reducing dependence on private vehicles and congested taxis.",Ethiopia,13,Planet,13.4 Decarbonised Transport,light-rail promotes green transit in ethiopia,Ethiopia
29,29,Adili Africa,http://www.adiliafrica.com/,Rainmaking,"Adili Africa works with women and youth  artisans  from marginalized areas  e.g kibera, rural Kenya. We provide decent work and economic growth for people living below the poverty line.We are keen to offer gender  equality to women artisans at Adili ",Kenya,8,Prosperity,,Empower marginalised artisans,
30,30,Advanced Aerobic Technology Sweden,http://www.a2t.se/en,Rainmaking,"We're a Swedish company, focused on clean water and sanitisation on a global scale",Sweden,6,People,,"A2T’s mission is to supply; spread and develop products and knowledge about a new generation of sewage treatment; with a direct affect on the majority of FN’s sustainability goals. A2T's vision is to be a leading global marketeer of economical sewage systems where waste water treatment, recycling of nutrients with energy recovery- and water-saving technology is the focus.",Developed Markets; Emerging Markets; Frontier Markets
31,31,Ampd Energy,ampd.energy,Rainmaking,"Ampd Energy is a developer of grid connected commercial ESS units which are used as replacement batteries for UPS systems. The company claims that the Ampd Silo is designed to fit into existing power backup space configurations. Two Silos fit into a 19″ 42U rack space, removing any need for structural changes leading to savings of up to 80 per cent of office or building space.",China,7,Prosperity,7.4 Energy Enablers,Commercial grid connected Energy Storage system developers,China
32,32,AmpyxPower,ampyxpower.com,Rainmaking,Ampyx Power is developing an Airborne Wind Energy System (AWES) with an airplane on a cable that converts wind into electricity at a higher altitude.,Netherlands,7,Prosperity,7.2 Energy Sources,Airborne Wind Energy System,Netherlands
33,33,AMS-Qi,http://www.ams-qi.com/,Rainmaking,"Fouling - deposition of ash on surfaces of boilers affects coal and biofuel powered power plants. Deposits reduce energy transfer from the combustion fuel to heated water and steam. In a typical base load boiler losses due to fouling top 5%, $25 million annually. Today there is no fouling sensing technology to direct cleaning of the boiler, driving up maintenance costs and inefficiencies. Our technology can directly measure the fouling buildup and create a close loop to optimize cleaning.",USA,7,Prosperity,7.4 Energy Enablers,"AMS-Qi improves electricity generation. We enable more efficient coal & biofuel burn, reduced boiler outage & reduced pollutant emission.",United States of America
34,34,Angaza Design,http://www.angazadesign.com/in-the-news/,Rainmaking,Angaza s Pay As You Go solution enables businesses to extend flexible solar payment plans to the billion individuals without access to grid electricity. Our platform allows manufacturers and distributors of off grid energy products to expand their customer base and access data driven market insights. Angaza s partners can launch their Pay As You Go program today without the investment of building and operating the necessary technology. Through a licensing model Angaza offers a complete Pay As You Go platform that redefines how off grid energy products are purchased financed and monitored in emerging markets. This presents an opportunity for over one billion people to purchase solar products for less than they currently spend on inferior energy options like burning kerosene. Angaza s Pay As You Go technology is suitable for a variety of products ranging from 1/2 watt solar study lights to 200 watt solar home systems as well as electronic clean cookstoves micro grid meters and solar water pumps. Angaza's Pay As You Go technology is used by manufacturers and distributors in 15 countries across Sub Saharan Africa Asia and Latin America.,USA,7,Prosperity,7.1 Energy Access Solutions,Innovative Technology to reshape the Energy Markets.,United States of America
35,35,ant studio,https://goexplorer.org/low-energy-natural-cooling/,Rainmaking,"using a technique from the egyptian era, ant studio has created an evaporative cooling system that is both low energy and cost efficient. during the summer in india, factory workers suffer from intolerable workplace temperatures of up to 50°c, resulting in both social and economic productivity losses. to lower the temperature, ant studio has created an eco-friendly cooling installation that is both a sustainable and inexpensive alternative to electric ac, using earthen cones and water as the main components. by stacking the cones, a large surface area for cooling is created. the design then uses the air velocity from factory generators to facilitate the evaporative cooling, lowering the temperature by 6-8 degrees celsius. this solution was featured in keeping it cool market of the 2018 global opportunity report , and was selected based on the criteria of that report.",india,7,Prosperity,7.4 Energy Enablers,low-energy natural cooling,india
36,36,Aerial Intelligence,aerialintel.com,Rainmaking,"Aerial Intelligence is a big data analytics platform that captures farm data from satellite imagery, aerial imagery, weather stations, etc. and converts it into actionable, macro-level insights for decision making for agribusinesses.",USA,2,People,2.1 AgTech for Sustainable Farming,Big data analytics platform for farm insights,United States of America
37,37,Aflore,http://www.aflore.co/,Rainmaking,Aflore is a network of financial advisors based on trust. Treating everyone as a friend and helping them realize their financial goals.,Colombia,1,People,1.1 Mobile connectivity for financial inclusion,Helping person achieve their goals with credit.,Colombia
38,38,Afluenta,https://www.afluenta.com/,Rainmaking,Afluenta is an online community that helps its members earn better returns for the money banking alternative available.,Argentina,1,People,1.1 Mobile connectivity for financial inclusion,Making money is more human.,Americas
39,39,Africa Exchange Holdings (AFEX),http://www.africaexchange.com/,Rainmaking,Africa Exchange Holdings Ltd. (AFEX) is a holding company established by Berggruen Holdings Heirs Holdings and 50 Ventures to establish equity and commodity markets across East and West Africa. Its goal is to create better access to agricultural and financial markets for smallholder farmers enabling them to sell their products at fair and competitive prices and gain access to financing opportunities.,USA,2,People,2.2 Digital technologies for Smallholder Farmers,Commodity Exchanges.,United States of America
40,40,Africa Youth for SDGs,http://www.africayouthforsdgs.com/,Rainmaking,"We seek to solve the issue of lack of awareness and action on SDGs by ensuring knowledge skills and attitude in Mainstreaming, Accelerating, contributing and supporting policy processes through innovation, implementation and scaling of ideas. ",Kenya,17,Partnerships,,"Africa Youth For SDGs is a network of individuals and organizations concerned with ensuring that youth in Africa participate in the universal goals IN ORDER TO MEET URGENT SOCIAL, ECONOMIC AND ENVIRONTMENTAL CHALLENGES FACING AFRICA.",
41,41,anton energy,http://anton.energy/,Rainmaking,"we are a leading innovator, developing clean energy solutions for off-grid applications. at anton energy we work hard to deliver innovative renewable energy solutions that meet rising global demands, tailored to suit our customers individual needs. we produce 100% solar powered generators, hybrid power generators, microgrids and power systems for the off-grid market, energy storage systems and turnkey solutions for temporary energy needs. we specialize in the areas of mobile renewable electricity and stationary solutions for remote and harsh environments.",Denmark,7,Prosperity,7.1 Energy Access Solutions,"we offer a wide range of products that are specially designed to ensure a high degree of mobility, as opposed to conventional renewable energy solutions that are usually characterized by being stationary, permanent facilities.",Denmark
42,42,Afriscanlink,http://afriscanlink.com,Rainmaking,"Business consulting company that serves Scandinavian companies who are interested in doing business in African markets, from entry strategy to on-the-ground operations",Denmark,8,Prosperity,,We help businesses realize their mission in African markets.,Developed Markets
43,43,Ag Business & Crop,agbusiness.ca,Rainmaking,"Ag Business &amp; Crop Inc. provides consultation / precision agriculture planning and services. Its primary services include field mapping, UAV scouting, soil sampling and geotagging, soil testing, generation of prescriptions for seed plantation, variable rate application of water and fertilzers, etc. It also has a retail and distribution division through which it sells precision agriculture hardware and equipment including drones, soil samplers, etc. It is an authorized dealer for senseFly and Wintex.",Canada,2,People,2.1 AgTech for Sustainable Farming,Farm data collection and analytics services for precision agriculture,Canada
44,44,Ag Logic,aglogic.com.au,Rainmaking,"Ag Logic provides precision agriculture solutions. It provides farm mapping solutions and provides variable rate fertilizer application plans and drain layouts. Also, offers frost and climate mapping solutions, irrigation consulting services, soil assessment, and topography measurement services.",Australia,2,People,2.1 AgTech for Sustainable Farming,Precision agriculture solutions provider,Australia
45,45,AgAerial Images,agaerialimages.com.au,Rainmaking,"AgAerial Images provides farm mapping and soil testing services. It offers geo-referenced NDVI, NDRE, RGB, and thermal maps collected by UAVs for agriculture growers and agronomists. Also, collects soil and tissue samples to analyse and recommend variable rates of seeds, fertilizers, and chemicals.",Australia,2,People,2.1 AgTech for Sustainable Farming,Provider of farm mapping and soil testing services,Australia
46,46,AgBiome,http://www.agbiome.com/,Rainmaking,AgBiome is redefining agriculture. They are an early stage provider of research and discovery of innovative crop solutions. Agriculture is the world s largest and most important industry. With ever growing numbers of mouths to feed decreasing land to farm and around 30% loss of yield to disease and pests the need for innovative products is essential. The plant microbiome is a complex naturally occurring community of billions of microbes essential to life. By taking advantage of the untapped benefits of these organisms AgBiome is discovering new solutions that work symbiotically with a plant resulting in robust and sustainable crops.,USA,2,People,2.1 AgTech for Sustainable Farming,Crop Microbiome Biotech Company.,United States of America
47,47,Agile,agileagr.com,Rainmaking,"Agile provides turnkey precision agriculture solutions for remote sensing and automation of field operations for the agriculture industries. The service portfolio has solutions for optical sensing, data handling, variable rate application of farm inputs etc. It uses equipment such as optical sensors, RTK GPS, mounting bracket, electric actuator, microcontrollers etc of companies such as Trimble and Swift Navigation for its services.",Greece,2,People,2.1 AgTech for Sustainable Farming,Turnkey precision agriculture solutions for remote sensing and automation of field operations,Greece
48,48,Aries Clean Energy,https://ariescleanenergy.com/,Rainmaking,Aries Clean Energy is a renewable energy company based in Nashville Tennessee specializing in developing downdraft gasification projects that enable corporate and municipal clients to cleanly convert waste into energy with positive financial returns. Deployment of Aries patented technology also brings measurable environmental benefits including reduction of carbon and greenhouse gas emissions and diversion of waste from landfills. In 2014 Aries constructed and field tested the world s largest downdraft gasifier. The initial deployment of that system is now operating in the City of Lebanon Tennessee and converts a blend of commercial wood waster scrap tires and biological sludge into electric power. This project recently won the Environmental Leader Project of the Year (2017). Aries Clean Energy was started in 2010 as PHG Energy and funded by the owners of a multi state Caterpillar dealership to further develop a patented gasification technology already in full commercialization and proven as a viable method of cleanly converting wood waste to synthetic fuel gas for industrial use.,USA,7,Prosperity,7.2 Energy Sources,actively pursues innovative gasification solutions,United States of America
49,49,Agora,https://agora.vote/#about,Rainmaking,a digital blockchain voting system,Switzerland,16,Peace,16.4 Civic tech platforms,Blockchain-based digital voting platform,Switzerland
50,50,AgPhD Scout,agphdscout.com,Rainmaking,"AgPhD Scout is a company developing a mobile application for field crops scouting. The software is capable of crops scouting including recording potential threats to crops such as pests, diseases, weeds or nutrient deficiencies, etc, field scouting for recording gullies, rocks, stumps, sinkhole in the field, field navigation, soil sampling and tissue sampling. The application is available for Android as well as iOS users and also offers soil & tissue testing services.",USA,2,People,2.1 AgTech for Sustainable Farming,Mobile application for field crops scouting,United States of America
51,51,AGRAiR,agrair.ch,Rainmaking,"AGRAIR provides drone-based precision farming services. Service offerings include vineyard spraying, agricultural field spraying, deploying slug pellets, releasing of beneficial insects, hyperspectral analysis, thermal analysis, fawn search etc. The company offers the services utilizing the proprietary drone technology AGRAiR for spraying, DJI Agras MG_1 for sowing and spreading, and drone MA-1 for beneficial insect release. Also, offers optical plant analysis by collecting the aerial view of farm pictures and processes with digital filters to analyze the growth progress, fertilizer requirements, fungal infestations, neophytes distribution etc.The company serves the customers of Switzerland.",Switzerland,2,People,2.1 AgTech for Sustainable Farming,Drone-based precision farming services,Switzerland
52,52,Agri Sense International,agrisenseinternational.com,Rainmaking,"Agri-Sense provides a range of services for precision agriculture decision support. It provides on-demand aerial image capturing and image processing services to provide detailed reports and various kind of maps such as high-resolution geo-rectified maps, 3-D terrain models &amp; survey maps, and vegetation &amp; crop assessment maps using various indices such as NDVI as well as analysis of farm input prescriptions, irrigation etc. Moreover, it provides a farm management software for field management for uploading various maps and farm data visualization. Furthermore, the company provides soil testing services and soil structure analysis for farmers.",South Africa,2,People,2.1 AgTech for Sustainable Farming,Services of data collection and analysis for precision agriculture decision support and a farm management software,South Africa
53,53,AgriApp Technologies,http://agriapp.co.in/,Rainmaking,"Agri App is an online marketplace for agriculture farm inputs. It provides an Android mobile application for the users providing a marketplace connecting farmers, retailers, farm input manufacturers etc. Its offerings include NPK fertilizers, bio fertilizer, organic fertilizer, crop tonics, specialty fertilizers, insecticides, fungicides, weedicides, seeds, and equipment. It also provides information on farm practices of various crops. Also, offers advisory services on crop protection and crop p... more",India,2,People,2.1 AgTech for Sustainable Farming,Online marketplace for agriculture farm inputs,India
54,54,Agrible,agrible.com,Rainmaking,"Agrible offers software solution for analytics and forecasting for farm data. It offers Morning Farm Report, a software that delivers field-level forecasts and data on yield predictions, nutrient availability, fieldwork timing, spraying conditions, hail events, potential pest problems, and weather. It also offers Pocket Rain Gauge, a software that brings location-specific rainfall measurements, Pocket Spray Smart, an application software that gets field-specific spraying conditions, current wind speed and direction, and temperature inversion potential for users current location, and Pocket Drone Control, an application that connects with Morning Farm Report to monitor crop damage by providing a bird's-eye view of the field. It serves independent growers, major food brands, crop consultants, insurance agencies, agriculture retailers, and processors.",USA,2,People,2.1 AgTech for Sustainable Farming,Software solution for analytics and forecasting for farm data,United States of America
55,55,Agribolo,www.agribolo.com,Rainmaking,"Agribolo is an initiative of AgriLife Technologies Private Limited. It is a digital market linkage platform that connects farmers to various agriculture input product suppliers and farming service providers. The platform enables the farmers to buy agriculture supplies such as seeds, fertilizers, agrochemicals from brands and hardware such as farm implements, tools and machinery from other sellers and merchants. Also provides rental of such equipment. Enables sellers, leasers and merchants to list and sell their products to the farmers. Also has a section for weather and agronomy information and market prices / yield expectations of agriculture produce across mandis.",India,2,People,2.2 Digital technologies for Smallholder Farmers,Digital market linkage platform connecting farmers to services and agriculture supplies,India
56,56,Agricolus,agricolus.com,Rainmaking,"Agricolus provides a range of technological solutions for precision agriculture decision support. Agricolus suite consists of 3 software products: Agricolus Awareness is a web-app that allows farmers to collaborate with other farmers and generate maps of farms using geospatial data; Agricolus DSS is a cloud-based software that uses geospatial data, drone images, and IoT data for generating fertilizer and pesticide prescriptions; Farm Management is a farm business management application for managing end-to-end resources at a farm. Other products of the company are Oliwes which is a software platform for data collection and backend analytics for detection of Olive diseases and GrapeDSS is a cloud-based software for precision agriculture decision support of vineyards.",Italy,2,People,2.1 AgTech for Sustainable Farming,Technological solutions for precision agriculture decision support,Italy
57,57,AgriConnect,uniphore.com/products/agriconnect,Rainmaking,"Uniphore offers solution which enables people to interact with and instruct machines. AgriConnect helps agribusinesses by automating the collection and dispersal of information across their supply chain. It helps in communication with farmers and agents. Farmers can use their mobile phones to connect, inquire, place the order or make complaints. Similarly, it helps field agents to send information about the farm & field activities on a real time basis through AgriConnect apps. It is available in 14 local languages and 100+ dialects.",India,2,People,2.1 AgTech for Sustainable Farming,Provider of speech analytics solution for communication with farmers and field agents,India
