,index,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Primary SDG,Additional SDGs,sub target,Source link,Multy label
10,10,Reel,https://reel.energy/,Plus impact,"Reel is a climate impact start-up aiming to democratize the energy market and accelerate the development of renewable energy on a global level. We see this as a pivotal step towards a zero-carbon economy and avoiding irreversible climate change and damage to life on earth. Currently, Power Purchase Agreements (PPAs) - an emerging type of renewable energy contract linked to the development of new renewable energy assets - are only available for the largest 1% of companies. Reel democratizes the renewable energy market by making it possible for groups of SMEs to act as ""one synthetic large company"" and enter into a PPA. This is done with an aggregational software model, a novel risk management system and a standardized contractual framework. We aim to become a central marketplace for renewable energy procurement – transparently and available for all. It will massively benefit the companies entering the market (SMEs), the renewable energy developers and the green transition that can now be accelerated on market terms.",København,"7,13,",,,,,,,,https://plusimpact.io/startups/reel-denmark,1
11,11,CoreSeer,https://coreseer.com,Plus impact,"At CoreSeer, we aim to future-proof our users’ skill sets, preparing them for the real world through an AI-driven professional development platform. It is an intelligent education and career coaching service. We are working hard to help people learn the skills that they need to make themselves future-proof and more marketable and change their lives for the better. We know that there are skills that will remain in-demand and marketable, and we want to afford people easier access to those skills, empowering them to learn what they need to learn in a way that is encouraging, fun, efficient, and effective. The ideal future of CoreSeer is one in which the users are growing both personally and professionally. At the heart of the CoreSeer platform is the recommendation engine, which guides people toward the occupations, skills, jobs, online-courses, lessons, and other opportunities that suit them best. We are drawing upon information about people’s needs, where they see their education or career path headed, and what will serve their futures best – accounting for all of these variables as we match people to the content that is available through CoreSeer. This means that, unlike other platforms that force users to make decisions about their education or career choices, we are offering a form of automated mentoring for our users, encouraging them to follow one path or another based on the results that they want to see.",Tampere,"4,8,",,,,,,,,https://plusimpact.io/startups/coreseer,1
12,12,Vakansa,https://vakansa.se/,Plus impact,"Our vision is to contribute to more lively cities through a resource effective use of the physical space. Vakansa is a digital platform that aims to scale up and ease the process of co-using ""time vacancies"" and the development of ""space vacancies"" for real estate owners, green tech companies, schools, civil society and associations. Time vacancies: are the specific times in which existing tenants are not using their buildings/facilities and that could be co used with others those specific times. Space vacancies: are flat spaces on a property such as walls, roofs, green spaces, hardened spaces and other spaces that could be developed with different solutions such as solar panels, art, allotments, outdoor gyms, playing grounds and green/clean tech innovations that could increase the social and environmental value of the property. ""Sustainability facilities management"" is a facility management service where Vakansa offers to rent the time vacancies of e.g a school in order to take full responsibility of the facilities & make sure to maximize the shared usage by renting it out on our digital platform. The concept includes handling of VAT and rental laws, contract issues, booking systems, key management, insurance issues and routines, that includes having a ""Sustainability facilities manager"" on the spot ensuring that nothing happens during the co usage. We see economical and environmental benefits where e.g schools that pay high rents for time vacancies could share the rent with associations & the civil society that are in need of cheap and available. That could enhance the social capital of an area.",Sweden,"8,11,12,",,,,,,,,https://plusimpact.io/startups/vakansa,1
13,13,HUD,http://www.hudsverige.se,Plus impact,"Vi har grundat företaget HUD till följd av att förbättra villkoren för de miljarder människor som lider av handeksem genom en ny unik diskhandske. Vi har själv lidit av olika typer av allergi och eksem i livet, så drivkraften handlar om att underlätta vardagen för dessa människor. Vi har uppfunnit och patenterat världens första diskhandske som KAN användas av människor med handeksem. Det handlar om en patenterad materialkonstruktion som absorberar fukten ifrån handen till innerlagret ut till absorptionslagret, vilket eliminerar både eksemutbrott och klåda.",Sweden,"3,13,14,",,,,,,,,https://plusimpact.io/startups/hud,1
14,14,Elonroad,https://elonroad.com/,Plus impact,"Elonroad develops a high-tech electric road system – it auto charges all types of electric vehicles when parked as well as when driving and the system is equipped with IoT sensors and software that captures and analyses transportation data. The solution is a conductive charging infrastructure designed for all electric vehicles (EVs), e.g., buses and trucks, cars, taxis, that operate in urban and highway conditions with the capacity to transfer up to 300kW with 98% efficiency. EVs that connect to Elonroad obtain direct power drive energy and charge their batteries to continue driving when disconnected from the electric road system (ERS). The power is distributed in very short segments of 1 meter and is unlocked by encrypted radio communication between the vehicle and the rail. Our ERS is equipped with IoT sensors and software that captures and analyses transportation data to generate intelligent feedback that interacts in real-time with moving and stationary vehicles. The digital road can facilitate the transition to autonomous vehicles by adding safety as it can inform about coming obstacles on the road, traffic movements and local deviations of temperature and weather conditions. Elonroad is the perfect union of disruptive tech and traditional engineering. Our vision is to electrify the entire transport sector and make fossil fuel a thing of the past, without increasing the demand of batteries. We will be the enabler of electrification of vehicles just like fiber has been for digitalization. We can contribute to reducing road transport CO2 emissions by more than 50%.",Sweden,"9,11,13,",,,,,,,,https://plusimpact.io/startups/elonroad-1,1
15,15,PlasticFri,https://www.plasticfri.com/,Plus impact,"PlasticFri™ is a CleanTech company from Sweden with the vision to end plastic pollution catastrophe. Conventional plastics are made from petroleum and stay in the environment up to 1000 years! By 2050, the oceans could have more plastic than fish. We are on a mission to change that through our revolutionary technology by turning agricultural waste to Plant-based alternatives for replacing disposable plastics PlasticFri was recently awarded as the “World’s Most Innovative Sustainability Startup” among 1402 companies Worldwide!",Sweden,"12,13,14,",,,,,,,,https://plusimpact.io/startups/plasticfri,1
16,16,Desert Control,https://www.desertcontrol.com,Plus impact,"Desertification – one of the greatest threats of our time Climate change and global warming degrade land, cause deserts to spread and temperatures to rise in a vicious cycle. The degradation of land and soil cripples terrestrial ecosystems crucial for biodiversity, CO2 uptake, and fragile balances vital for life on earth. Twelve million hectares of productive land perish annually due to desertification and drought. Growing water scarcity magnifies the challenge of combating this dilemma. Nature alone lacks the resilience to endure continued overexploitation and impacts of climate change. Disrupting current trends by restoring ecosystems and fostering sustainable use of scarce resources is crucial for the health and prosperity of our planet. Healthy soil is integral to any plan for addressing global issues such as; food and nutritional security, climate change, growing water demands, and biodiversity. Our mission is to make earth green, resilient, and sustainable to foster prosperity for life on earth.",Norway,"2,13,15,",,,,,SDG 2: Zero Hunger,,,https://plusimpact.io/startups/desert-control-1,1
17,17,Go-Pen,http://www.insuject.com/,Plus impact,"Only a few diabetics in developing countries have the opportunity to take their insulin in an insulin pen used by those diabetics in affluent countries. Instead, they are relegated to using traditional syringes and needles, which are cheaper but difficult to use safely. We wish to change this. The GO-Pen device creates access to a new insulin pen combining established mechanisms (which it has the rights and IP to exploit) with technical innovations to develop a significantly cheaper product. The GO-Pen combines a reusable unit that accurately doses insulin held in a capsule that can be refilled from vials. This eliminates the need for syringes. The benefits are, 1) a quicker, more discrete injection, 2) fewer life-threatening hypos, 3) reduced cost of training healthcare professionals, 4) ease of use and higher adherence, 5) reduced risk of complications, 6) reduced cost; and 7) reduced hazardous waste and CO2 emissions Building on a grant from the Danish “Innovationsfonden”, we seek additional support for maturing a patented concept that combines elements of known and new technology into a new, safe and cheaper type of insulin pen.",Ishøj,"3,8,13,",,,,,,,,https://plusimpact.io/startups/go-pen,1
18,18,Lifeline Robotics A/S,https://www.lifelinerobotics.com/,Plus impact,"We use collaborative robots to automate and democratize access to healthcare! The groundbreaking robot, Careebo, has been designed and developed by a team of robotics researchers at the Maersk Mc-Kinney Moller Institute at the University of Southern Denmark (SDU) in Odense, a city home to one of the world’s leading robotics clusters.",Odense,"3,9,17,",,,,,,,,https://plusimpact.io/startups/lifeline-robotics-as,1
19,19,Spectro Inlets ApS,https://spectroinlets.com/,Plus impact,"Mission: We provide real-time and accurate measurement solutions to optimize environmental and chemical processes to achieve a greener, cleaner world. Vision: Making mass spectrometry accessible to everyone for any test environment. Description: Using our proprietary microchip inlet technology, we are able to bring mass spectrometers out of the laboratory and into the real-world. We already provide benchtop analysis systems for electrochemistry and battery research which we sell to research institutions around the world. We have tested and are currently developing the commercial version of an online industrial sensor version of our system for real-time measurements in biogas production facilities and wastewater treatment plants.",København,"6,7,13,",,,,,,,,https://plusimpact.io/startups/spectro-inlets-aps,1
20,20,Brix,https://majabrix.com/,Plus impact,"Educated at Central Saint Martins College of Art and Design in Fashion womenswear, Maja Brix spent eight years as head designer for Henrik Vibskov Femme, before launching her own label in 2016. Sustainability plays a significant role at Brix’s company – not only are all of her products created from environmentally-friendly materials, but every aspect of her company is also structured around the sustainable model. She designs clothes for both men and women, and is mostly known for her organic cotton shirts and suits.",København,"11,12,17,",,,,,,,,https://plusimpact.io/startups/brix,1
21,21,SustainLab,http://www.sustainlab.co/,Plus impact,"SustainLab is a Sustainability Intelligence Company that creates next generation technology to help businesses gather, process, and understand their sustainability data. SustainLab’s mission is to enable decision-makers to achieve impactful sustainability results with it’s innovative sustainability intelligence platform. This is done by making data handling so simple that companies can have visibility of sustainability data as often as financial data and review it in every management team meeting, instead of reviewing the performance once yearly. Powered by unique technology and shaped with a focus on impact, SustainLab aims to accelerate change for Better business - Better planet.",Sweden,"8,11,12,",,,,,,,,https://plusimpact.io/startups/sustainlab,1
22,22,Skyline Card,http://www.skylinecard.dk,Plus impact,"In the US alone, only 1 trillion business cards are printed each year. We would like to put an end to the waste of paper. That's why we are introducing you, for future business cards. Skyline Card is an electronic business card combined with NFC technology, where the card contains a link to one's profile. Skyline Card includes: - Pictures - Videos - Google Maps - Direct add on the phone - People can sell their product or service directly on their business cards And much more! We are cheaper, more environmentally friendly and Skyline Card can even sell your products.",Herning,"6,15,",,,,,,,,https://plusimpact.io/startups/skyline-card,1
23,23,ClowID,https://www.clowid.com/,Plus impact,"Statistics show that approximately 90 percent of paper receipts end up in the trash can. Most people part ways with their receipts shortly after collection, and many others can’t remember where they kept it if they did at all. Paper receipts contain BPA or Bisphenol A, a plastic component which is harmful for the health and cannot be recycle, in addition to this the environmental impact of its production, where in Europe, over 13 million trees and 17 billion gallons of water are consumed each year in the creation of paper receipts, generating 2.500 billion tons of waste and 4 billion tons of CO2. ClowID is an innovative solution, a full stack Customer engagement platform that connects merchants and end customers through Smart Receipts. For final consumer a free app to save receipts and warranties in one place, without disclosing personal information, no email, no phone, no name, while providing more personalised experience. For merchants one click installation software with no initial development costs, to reduce environmental impact and costs while increasing their customer insight, improving digital transactions, in-person customer experiences, increasing customer engagement and loyalty. We have a golden opportunity to make a positive impact on our planet, the future is now!",Sweden,"12,13,15,",,,,,,,,https://plusimpact.io/startups/clowid,1
24,24,Vapaus.io,https://vapaus.io/,Plus impact,"Vapaus.io makes carbon-neutral mobility a reality for metropolitans. Our shared B2B2C-electric vehicles and classic bicycles as a service turnkey solution provides the best travel experience in cities. Bring us daily travel problems of your community, we will deliver a sustainable solution that makes you smile. We started to build our sustainable mobility platform at the beginning of 2018. Currently, we act as a carbon-negative mobility operator on our own platform serving nearly 20 corporate and community customers. Some of the most well-known companies in Finland e.g. YIT, Fortum, Supercell and Wärtsilä are already our clients. In a bigger perspective we are building a sustainable mobility platform which will be integrated seamlessly into built and digital environment. Vapaus will play an important part in mobility ecosystem as a missing puzzle in the MaaS-promise. In the future our actions will result as a great user experience, model example of circular economy and positive impact for people, society and the planet. If you are interested in joining us as an investor in order to make a difference together, please contact Tatu either by phone + 358 40 770 7452, email tatu@vapaus.io or Telegram @tatumakila. Thank you!",Helsinki,"11,12,13,",,,,,,,,https://plusimpact.io/startups/vapausio,1
25,25,Tekslo Seafood,https://teksloseaweed.no/,Plus impact,"Where The Atlantic Ocean meets the Northern Sea, and along the coast of Norway, lies an under-used and fairly unknown natural resource. Our forefathers sustained themselves from the ocean for thousands of years, and for them seaweed was a vital source of vitamins and minerals. All of us that started Tekslo were raised by the ocean, and together we share a dream of creating a more sustainable Earth and reverse the trends on food and health – as we introduce seaweed to the world. Our harvesting areas are located in the sea close to Tekslo lighthouse, west of the island Tofterøy on Sotra. With its perfect currents, clean, clear and high-nutrient water, no fish farming or other pollutants, it is an optimal site for finding high quality seaweed! We harvest wild seaweed by hand from reefs, rocks and islets close to the coast. This allows us to only and carefully collect the best quality. We then dry the seaweed in our custom-designed room, which is built inside a traditional boathouse.",Norway,"2,11,12,",,,,,,,,https://plusimpact.io/startups/sjosaker-seaweed,1
26,26,Ioncell,https://ioncell.fi/,Plus impact,"Ioncell® is first and foremost a research project. Our researchers from Aalto University and the University of Helsinki have been developing the Ioncell technology for nearly ten years. Ioncell® is a technology that turns used textiles, pulp or even old newspapers into new textile fibers sustainably and without harmful chemicals. The process converts cellulose into fibers which in turn can be made into long-lasting fabrics. The Ioncell® process uses a novel solvent called ionic liquid. It’s an environmentally friendly solvent that can be recycled and isn’t flammable like many others. Ioncell® fibers feel soft and are strong even when wet. They’re tenacious and work well in both clothing and technical applications. The Ioncell® process could revolutionize the recycling of textile waste. It enables waste textiles to get a new life as high-quality fibers.",Helsinki,"9,12,13,",,,,,SDG 9: Industry Innovation and Infrastructure,,,https://plusimpact.io/startups/ioncell,1
27,27,MilieuPort,http://www.milieuport.no/,Plus impact,"MilieuPort assists the port with shore power, digitization and environmental solutions. A large cruise ship, docked for 8 hours, emits as much NOx as 10,000 passenger cars traveling from Oslo to Trondheim. NOx emissions from a large cruise ship at the quay for 8 hours corresponds to the annual emissions from approx. 700 passenger cars. 1)SmartPort - Generic electronic port management software: SmartPort's interface connects all ports systems into one interface and automates a variety of processes, including payment and booking. 2)Planning, engineering and operation: MilieuPort offers tailor-made solutions for the port and the services the port wants to provide. MilieuPort assists completely from opportunity study to operation. 3)Recycling of maritime waste from ships: MilieuPort offers solutions for: receiving and recycling Slop, Sludge, Organic waste, metal, wood, hazardous waste and cleaning of slop and sludge. 4) ASPoS (At Sea Power Supply) MilieuPort supplies shore power to ships on the sway. Through the MilieuPort system ASPoS, ships located in the harbor pool receive shore power. MilieuPort is a specialist in infrastructure and installation of shore power and wants to use our expertise to facilitate the green shift and the government's climate goals. In close collaboration with our customers and partners, we will develop solutions that the next generation can be proud of. Together with you as a customer, we will create a sustainable solution for your particular port.",Norway,"7,9,12,",,,,,,,,https://plusimpact.io/startups/milieuport,1
28,28,Leydn Digital Energy,http://www.leydn.com/,Plus impact,"Leydn is a company set out to redefine the local grid by integrating active home storage on large scale making consumer in control. Our team combines key competencies including IT systems (SW architecture , programming), product development (hardware, software, control systems), energy trading, energy sustainability, entrepreneurship and business development.",Norway,"7,12,13,",,,,,,,,https://plusimpact.io/startups/leydn-digital-energy,1
29,29,Jukolux,https://jukolux.com/,Plus impact,"Jukolux is a pioneer in revolutionizing the global special lighting solutions. As a company we are born form innovation. All the way from the very beginning our focus has been to create new innovative solutions with the best and finest that technology has to offer. For us, there are no problems only possibilities. Our mission is to create SAFER, BETTER and MORE EFFICIENT working conditions by offering the latest LED and IoT solutions by JUKO brands for demanding environments. Our passion is to become acquainted with our customers’ and their business. We want to listen and learn from our customer’s needs. We want to understand the complete challenge, so we can offer superior JUKO brand products or solutions. Our vision is to become the global trendsetter in high-end products. JUKO brands will offer superior products in design, functionality and reliability. We see our innovativeness and the correct partners as the key to successfully stand out from the crowd.",Vaasa,"9,11,12,",,,,,,,,https://plusimpact.io/startups/jukolux,1
30,30,Solar Fire Concentration,https://solarfire.io/,Plus impact,"Founded by Eva and Eerik Wissenz, the company develops and spreads the solar fire technology through commercial and humanitarian channels. Solar Fire is a cost-effective technology for concentrating sunlight for thermal needs. Our current systems produce steam in the range of 110 to 200°C and focal temperatures up to 600°C. This enables a wide range of possible applications. Our aim is to break the cost-barriers currently limiting deployment of solar thermal technologies in both industrial industries and developing regions. By developing truly cost-effective, scalable and efficient solar thermal technology it’s possible to create local wealth and significantly reduce carbon-emissions, deforestation, and air-pollution.",Tampere,"7,11,12,",,,,,,,,https://plusimpact.io/startups/solar-fire-concentration,1
31,31,ECODRYING,http://www.ecodrying.dk/index.php?id=ecodrying,Plus impact,Bio-refining is based on the idea of a green circuit where no resources go to waste. Bio-refining is a new economical method of heating with biomass. There are many other unexplored opportunities beyond heating which we will outline. The method is economical and not dependent on government support.,Brædstrup,"7,9,13,",,,,,,,,https://plusimpact.io/startups/ecodrying,1
32,32,Cyklus Bolig,http://cyklusarc.com/,Plus impact,"Cyklus is a Danish word that means “cycle.” The inspiration is the miracle of the natural systems that we depend on, because they operate in cycles. This contrasts with a linear model - still the standard mindset when people make things - and where it is assumed that we can just harvest materials or energy (or people) for a purpose, and disregard the “waste” and other destructive consequences as an inevitable part to the process. Cyklus is part of to the paradigm shift from a linear model to a circular one: incorporating the “circular economy,” for example. We must consider the consequences choices that are made, and integrate our actions into a sustainable, circular model. In the building sector, this means eliminating CO2 emissions, adopting zero waste models, creating healthy environments, and more.",København,"11,12,",,,,,,,,https://plusimpact.io/startups/cyklus-bolig-1,1
33,33,Ascend XYZ,https://ascendxyz.com/,Plus impact,"We make airport management and monitoring easier, better and more efficient. At Ascend the best from software development meets the best from engineering and the outcome is an innovative, user friendly and affordable service for airports around the globe. We enable airports to conduct efficient wildlife monitoring, risk management and obstacle identification. Our service is browser based and feeds on aerial- and satellite imagery. We offer Obstacle Penetration Analysis of protective surfaces, Limitation Surface maps, data for Aerodrome Obstacle Charts, Obstacle Assessment Surfaces Analysis and mapping. We offer a complete solution from aerial data acquisition, remote sensing to the customization of the analysis to your needs into an user friendly service.",København,"9,15,",,,,,,,,https://plusimpact.io/startups/ascend-xyz,1
34,34,AMOV Apparel,https://amovapparel.com/,Plus impact,"AMOV Apparel was founded in 2015. AMOV aims to become a pioneer of change in the fashion industry. AMOV combines organic, responsible and sustainable materials, a new recycling system and ambitious 'giving back' principles in a unique concept. Tackling a notoriously non-sustainable industry; we are creating an apparel brand. Through our work and example, we wish to start a movement. A movement towards a society where people, businesses and politicians find it natural to act responsibly and with compassion. &quot;Profit matching&quot; is our way of balancing our financial success with our responsibility to give back; to do good in the world. Specifically it means that for every penny we earn (after taxes and interest) we must at least raise a similar amount for doing good through various activities, campaigns and funds.",Viborg,"9,11,12,",,,,,,,,https://plusimpact.io/startups/amov-apparel-1,1
35,35,AlgaePro,https://www.algaepro.no/#services,Plus impact,"AlgaePro was established in 2018 by the team in Greentech Innovators Bergen, Norway. AlgaePro is developing technology for cultivating microalgae through circular bioeconomy, using biowaste from municipal waste management, as well as carbon dioxide and waste heat from industrial sources. AlgaePro’s technology will pave the way for commercial cultivation of microalgae from waste streams for fish feed and other specialised aquaculture products, thereby promoting the circular bioeconomy. The technology will also enable countries with colder climates and access to abundant clean energy to sustainably grow microalgae for their own aquaculture industry.",Bergen,"12,13,14,",,,,,,,,https://plusimpact.io/startups/algaepro,1
36,36,Dryk,http://www.dryk.com,Plus impact,"Dryk is a danish startup that develop and market high quality plant based dairy products like oat-, pea and hemp milk under that Dryk brand. The use of plant based dairy products reduce the emission of CO2 by at least 70% compared to normal dairy products. Our aim is to be one of the top brands globally.",Klippinge,"3,13,15,",,,,,,,,https://plusimpact.io/startups/dryk,1
37,37,Clean Sea Solutions,http://www.cleanseasolutions.no,Plus impact,"Clean Sea Solutions AS (est. Jan 2018) is a Norwegian Ocean Tech company that develops innovative solutions to prevent and reduce plastic waste in the sea. Our products are designed to collect plastic waste in and below the water surface in lakes, canals, rivers and river mouths, harbors, marinas, and other waterfront areas. The problem we are working to solve Between 4,8 and 12,7 million tons of plastic ends in the oceans every year, the main problem is the release of plastic waste into the ocean through waterways, rivers, harbor areas, and other areas close to the coast. The solution is to gather the waste in the water bodies close to the polluting sources by a moving or stationary floating device with a practical and right-sized collecting and storage system. The increased focus on plastic waste in the ocean specifically, and the protection of the environment in general, leads cities and other waterway owners to search for new cleaning options. Several do this manually or with crudely adapted boats. The response from the market is that this kind of collection system – its size, focus area, operation mode, and autonomous operation mode – fits the need of many cities. Products The Clean Sea Aqua Drone is an all-electric, autonomous floating waste-collecting Aqua drone, combining robotic technology with modern and efficient design with the purpose of capturing plastic waste in the water surface, and built to be easily emptied. Providing clean waters in ports, marinas, and waterways, protecting marine habitats. Added value stream mapping and data collection The Clean Sea Flexi Pods are flexible and attractive modular floating docks with built-in autonomous waste collectors and internal collection pools, designed to keep marinas and private waterfront estates clean from floating plastic waste and thus reduce the inflow of waste into the open seas Impact Plastic waste will be collected before it is dissolved or reaches the high seas. The effect can be measured in the volume of plastic collected. We are advancing the Sustainable Development Goals, especially SDG14 (Life Below Water) by contributing to reducing plastic pollution and contributing to the sustainability of the ocean - SDG6 (Clean Water Sanitation) by improving the quality and sustainability of water resources by addressing the impact of plastic waste inflow. Focus of activities Our focus of business is an area identified for maximum effectiveness; Rivers, river mouths, harbors, marinas, resorts, and waterfront urban development areas. Especially the Mediterranean region, where significant resources have been allocated to France, Spain, and Italy through the Mediterranean Action Plan. This market is estimated to increase to 10.2% by 2024, compared to 8% in 2018. Africa is another priority region where 70 million metric tons of waste are generated each year, but only 10 percent is collected. By 2025, over 160 million metric tons of waste will be generated annually, and much of it will end up in the sea due to a lack of proper waste treatment. Assumptions We believe, based on current trends that 5 years from now, every waterfront area with human activity will either have an active cleaning system for its waters or a strong push to install such a system. Where no regulations or laws exist or are effective, NGOs and other stakeholders will demand and support the installation of a system. Public demand will play a major role in resorts and other private waterfront areas. Clean waters and environmentally friendly solutions will become a competitive advantage within an increasing number of business areas",Norway,"6,14,",,,,,,,,https://plusimpact.io/startups/clean-sea-solutions,1
38,38,Tamturbo,https://www.tamturbo.com/,Plus impact,"Oil-Free turbo compressors for all industries. Compressed air production is an integral part of most industrial manufacturing processes. It is used in almost every industrial plant to power machines, tools and processes and to move materials in different ways. Compressed air is a basic utility, comparable to electricity, water and heat. The difference is that industrial plants do not need to produce their own power, water or heating, but they are almost always required to take responsibility for producing compressed air. Tamturbo® Touch-Free™ turbo compressors are 100% oil-free and by far the most sustainable air compressor solution on the market. With the lowest total cost of ownership, Tamturbo air compressors deliver significant savings from the biggest costs of owning an air compressor: energy and maintenance. Tamturbo® 100% oil-free turbo compressors have better and more persistent energy efficiency compared to traditional “oil free” screw compressors, so you will see significant savings in your electrical costs. Additionally, unlike “oil free” screw compressors, Tamturbo air compressors do not lose their efficiency due to wear. This means that you will see a lifetime of consistent high efficiency that extends throughout the wide capacity turndown range. Tamturbo’s Touch-Free™ technology operates with practically no wear and tear, eliminating the need for conventional maintenance. For our customers, this means financial savings and less unnecessary maintenance downtime, and it also extends the technical service life of the equipment, which reduces the environmental burden caused by waste.",Tampere,"9,12,",,,,,,,,https://plusimpact.io/startups/tamturbo,1
39,39,Meoline,http://www.meoline.fi/,Plus impact,"Meoline MEO+ is a heavy metals analyzer using traditional electrochemical analysis to measure real-time heavy metal concentrations from industrial discharge waters in ppb levels. We have developed the system in collaboration with industrial customers. We have new innovations in maintenance and reliability. The analyzer is especially tailored to work reliable in harsh and remote locations. Measurement can be also arranged to locations without electricity by utilizing solar panels and battery technology. We think that real-time monitoring is the best way towards optimized process control. Chemical usage can be done faster and the consumption can be optimized with real-time data and not by manual sampling and traditional laboratory analysis. Also, incidents occur and can cost a lot of money and may lead to environmental problems. Now the monitoring can be done automatically by real-time measurements even in harsh and remote locations. Early warning system alerts 24/7 automatically, when limit values are exceeded.",Kajaani,"6,9,12,",,,,,,,,https://plusimpact.io/startups/meoline,1
