,Unnamed: 0.1.1,name,description,Themes,SDG Goal,five Ps,new pred SDG,new pred five Ps,new Mistakes,SDG ok,Ps ok,Comments
10,54,Roots Sustainable Agricultural Technologies,"Roots addresses plant climate-management and irrigation issues. The company specializes in two core technologies: root zone temperature optimization, which can help increase yield, improve quality, save energy, and mitigate extreme heat and cold stress; and irrigation by condensation, which provides water for irrigation from the moisture in the air and soil. 
 
 Roots leverages the principle of ground-source heat exchange by installing a closed-loop system of pipes and a circulation pump. The lower heat-charging component is placed at depth, and the upper heat-discharging device is located in the target crop's root zone. By heating the root zone during the winter and cooling it during the summer, the root zone temperature is maintained at a relatively stable, favorable range year-round.",,"2,6",People,2,People,1,TRUE,TRUE,
11,323,RosenProtest Green IT,"RosenProtest Green IT is the creator of Picabin, a social network for finding and logging recycling bins around the world. With the Picabin app, users can locate or add a recycling bin and update its status, including a picture and information such as accessibility, parking, and fullness.",,"11,13","Prosperity,Planet",12,Prosperity,2,FALSE,TRUE,
12,180,Applied Cavitation Technologies,Applied Cavitation Technologies develops and tests energy-efficient aeration equipment for wastewater treatment and oxidation methods for drinking water and wastewater purification. The companys aeration equipment can operate using renewable solar and wind energy.,,6,People,7,People,2,FALSE,TRUE,
13,264,Juran Metal Works,"Juran Metal Works provides automated, mechanized, and streamlined operating and production systems for agriculture, food, and other industries.
 
 The company's systems include the Fresh Defrost freezing method, the ArilSystem for automated pomegranate seed extraction, a lychee treatment process to retain natural color and shelf life, and a watermelon harvester and deseeder.",,2,People,2,People,1,TRUE,TRUE,
14,388,Kula,"Kula allows students to step into the shoes of an employee at a real company by creating a virtual simulation of a real-world workplace through the use of AI and top-notch teaching methodologies.
 
 The students are faced with professional challenges as well as assistance to overcome them. The companys simulations help students gain experience, generate a portfolio, and maximize their value to future employers.
 
 Kula is an alumnus of the Zell Entrepreneurship Program, an innovative program generously funded by world-renowned entrepreneur Sam Zell of Chicago, which gives students an opportunity to participate in advanced entrepreneurial studies in the creation of real business ventures.",,4,People,8,People,2,FALSE,TRUE,
15,32,DUSMIT,"DUSMIT developed air purification technology for the medical cannabis industry. Using the company's technology, mold and other contaminants can be removed from the air in real time, without the use of chemicals, filters, byproducts, or ozone. For greenhouse and indoor cannabis facilities, the company's device can purify air, improve quality yield, and eliminate odors.
 
 DUSMIT's purification device can also help people with allergies and weakened immune systems by reducing indoor allergens and asthma triggers.",,"3,13","People,Planet",3,People,1,TRUE,TRUE,
16,506,Agree Online,"Agree Online helps children resolve digital conflicts before they escalate into cyber bullying or violence. The company enables children to find creative solutions for their conflicts through the use of conflict resolution and by recommending possible solutions based on the wisdom of their peers.
 Agree Online has been used by thousands of children via a national portal and inside classrooms and has received great feedback. Children learn how to avoid and resolve digital conflicts, and they role-play scenarios involving the parties in the conflict, mediators, and advisers who recommend solutions.
 Agree Online enables internet platforms to satisfy the needs of children, parents, regulators, and public opinion. The company is targeting social platforms popular among children, such as Instagram, WhatsApp, Facebook, Musical.ly, Snapchat, and YouTube.",,"4,16","People,Partnership",16,People,1,TRUE,TRUE,
17,80,ROTEC,"ROTEC develops technologies for sensing, monitoring, and preventing mineral scaling on the surface of membranes and pipes for the water treatment industry.
 
 The implementation of scaling-prevention technology in membrane-based desalination plants increases the process recovery rate, dramatically reduces brine volumes requiring disposal, minimizes anti-scalant consumption, and significantly reduces the cost of desalinated water.",,6,People,6,People,1,TRUE,TRUE,
18,175,WTR Tec,"WTR Tec operates in the field of wastewater purification for domestic, industrial, and agricultural applications. Its technology is based on separating contaminants from water, rather than water from contaminants, using physical, electrochemical, and hydrodynamic methods.
 
 WTR Tec implements methodologies that optimize the working point of the electrocoagulation and electrofloatation multivariable processes, resulting in a process that is energetically and operationally effective.
 
 The company is focused on industrial wastewater recycling, in which water is consumed at high costs due to regulations and specific contaminants. Its targeted businesses are located in expensive urban zones where small-footprint machines are favorable, and typically include the metal coating, industrial, textile, food and paper, and oil and gas sectors.",,6,People,6,People,1,TRUE,TRUE,
19,161,Impulse Dynamics,"Impulse Dynamics is a medical device company developing solutions for the treatment of chronic heart failure (CHF). The companys developments are based on its proprietary technology for administering cardiac contractility modulation (CCM) therapy. This form of treatment has been shown in clinical trials to produce an immediate and powerful modulating effect on cardiac cells, resulting in a significant increase in cardiac performance.
 
 Impulse Dynamics Optimizer IVs is a minimally invasive implantable device designed to treat CHF in patients who are symptomatic despite appropriate medical treatment. The device is based on CCM technology and delivers nonexcitatory electric pulses.
 
 The Optimizer IVs Implantable Pulse Generator (IPG) unit senses the hearts electrical activity and delivers CCM signals via two electrodes placed in the hearts right ventricle during the absolute refractory period, just after the heart contracts. The IPG is about the size of a defibrillator.
 
 Patients can recharge the IPG unit on a weekly basis using a home-based charger system, with no supervision needed.",,IMPACT?,,3,People,0,FALSE,FALSE,
20,137,Aqwise,"Aqwise develops and implements water and wastewater treatment solutions for the industrial and municipal markets. Its solutions increase biochemical oxygen demand and nutrient removal capacity in water and wastewater treatment plants, offering enhanced utilization of existing reactors and efficiencies in the implementation of new ones.
 
 The company's proprietary Attached Growth Airlift Reactor (AGAR) technology integrates fixed-film and suspended-growth technologies. The AGAR technology combines a fully open and protected biomass carrier with an efficient aeration and mixing design in various aerobic (e.g. AGAR MBBR and AGAR IFAS) and anaerobic (e.g. DACS and DACS DANA) process configurations, resulting in effective surface areas for biomass growth and oxygen transfer efficiency.
 
 In the drinking water segment, Aqwise is operating a biological groundwater treatment facility in Israel that removes nitrates from well water without any brine residue.",,6,Planet,6,Prosperity,5,TRUE,FALSE,
21,22,Hilico,"Hilico developed a portable, lightweight rain harvesting system. The device is designed to sustainably provide clean drinking water to off-grid communities and disaster relief areas worldwide.",,"1,6",People,6,People,1,TRUE,TRUE,
22,134,International Purewater,"International Purewater has developed the NanoFiltR, a solution designed to address the problem of water contaminated by arsenic. The companys solution uses nanotechnology to reduce extremely high contamination levels of arsenic III and V to safe, drinkable levels. 
 
 Created with a customized plug and play design, the NanoFiltR is universally applicable and no additional infrastructure or complicated installation process is required to implement the solution.",,6,People,6,Planet,5,TRUE,FALSE,
23,418,Sufresca,"Sufresca develops edible coatings for produce, facilitating longer shelf life and reducing post-harvest loss and waste. Sufrescas coatings are tailored to each targeted fruit or vegetable using specific liquid formulations suitable for both traditional and organic agriculture.
 
 The companys initial focus is on crops for which no post-harvest edible coating currently exists, such as tomatoes, garlic, peppers, and pomegranate arils.",,2,People,2,People,1,TRUE,TRUE,
24,23,Phinergy Marine,"Phoenician Energy licenses aluminum-air battery technology developed by Phinergy and adapts it to marine applications. Aluminum-air batteries do not lose capacity when not in use or degrade over time. The aluminum anode depletes only when producing electricity, eventually saturating the electrolyte.
 
 Phoenician Energy exhibited a containerized solution at the Electric and Hybrid Marine World Expo and has signed an agreement with one of Europe's inland waterways shipyard groups.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
25,383,Mottes Tensiometers,"Mottes Tensiometers has developed a high-precision system for measuring and monitoring plant water consumption. The system utilizes remote sensing, cellular networks, and the internet to provide growers with accurate and reliable data about soil moisture tension and soil and air temperature. The results can be easily accessed through the companys web-based and mobile applications.",,2,People,2,People,1,TRUE,TRUE,
26,239,VGI,"VGI produces organic fertilizers from natural components that support healthy, natural plant growth. Its products reduce carbon dioxide emissions in agricultural production and help break the cycle of excess chemical use in agriculture.
 
 VGIs product lines include the KF formulation for home gardening or agriculture, which is designed to enhance crop size, weight, color, and yield. It is nontoxic to humans, nonpolluting, and does not scorch leaves. The product can be applied through irrigation systems or as a foliar spray or soil drench.",,2,People,2,People,1,TRUE,TRUE,
27,143,SupPlant,"SupPlant offers an online platform and smartphone application designed to collect real-time sensor data from farms and provide continuous, actionable feedback to farmers.
 
 SupPlant uses wirelessly transmitted data from sensors in the field that monitor the weather and soil, as well as from specialized plant sensors that measure stem diameter, leaf temperature, fruit size, and more. With these sensors, SupPlant can monitor plants to identify changes in growth rate, detect stress situations resulting from lack of irrigation, and compute actual and potential evapotranspiration (ET) to determine how much to irrigate.",,2,People,2,People,1,TRUE,TRUE,
28,154,Trellis,"Trellis has developed an AI-powered food system intelligence platform that enables key agricultural players ranging from growers to food manufacturers to accurately forecast crop production, supply chain fluctuations, and market trends, which can result in lower costs, improved quality, and reduced food loss.
 
 Trellis can help producers maximize supply chain efficiency, profitability, and quality. With accurate predictions on crop performance and insights into the supply chain, manufacturers are able to reduce costs by managing supply positions and resources more accurately. Trellis streamlines food production goals with field-level predictions to maximize intake efficiency and quality on schedule.",,2,People,2,People,1,TRUE,TRUE,
29,427,Med Shield,"Med Shield is the developer of My Travel Shield, an app designed to help travelers manage and share their medical information in the event of an emergency. The app enables users to activate personalized travel insurance, find and access medical service providers, make direct calls to emergency services worldwide, manage interactions with insurance companies, and provide doctors with their medical profile.
 
 My Travel Shield is a Med Shield insurance product.",,3,People,3,People,1,TRUE,TRUE,
30,417,Must-Quito,Must-Quito develops a mechanically and automatically controlled mosquito trap that operates without power or harmful chemicals. The trap can be deployed in remote rural areas as well as in crowded cities. Must-Quito aims to reduce the risk of infection from mosquito-borne diseases.,,3,People,15,People,2,FALSE,TRUE,
31,179,Raphael Valves Industries,"Raphael Valves Industries manufactures a line of control valves that includes hydraulic control valves, butterfly valves, gate valves, and check valves. Various coating technologies, such as epoxy, Rilsan (nylon 11), and enamel, facilitate high-quality protection for special applications.
 
 The companys research and development department is creating products and solutions for water control systems, including waterworks, sewage, irrigation, and fire protection.
 
 Raphael Valves Industries is part of Talis Group.",,6,People,6,People,1,TRUE,TRUE,
32,59,Filtersafe,"Filtersafe specializes in the development of intelligent automatic screen filters for ballast water, oil and gas, and industrial projects. With high-performance, fine-filtration solutions for reverse osmosis, membrane, disinfection, and ultra-fine-filter treatment protection, Filtersafe brings economy, value, and environmental responsibility to seawater, freshwater, and brackish water filtration.",,6,People,14,People,2,FALSE,TRUE,
33,240,Eco Wave Power,"Eco Wave Power has developed a proprietary technology for extracting energy from waves and converting it into electricity. The technology allows for the delivery of sustainable and affordable wave-energy solutions that are responsive to the needs of local communities, cities, and countries.
 
 The company's system is designed to produce electricity at a lower cost than traditional or renewable energy-generation methods. Eco Wave Power invented and developed the EWP wave-energy device. The company also designs, manufactures, and operates EWP wave-energy converters.
 
 Eco Wave Power was recognized with the Europe New Product Innovation Award by Frost & Sullivan in 2012 and won the United Nations Global Climate Action Award in 2019.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
34,483,Serenus.AI,"Serenus.AI is a patent-pending AI-based platform to help professionals, health systems, and insurers make medical decisions. The system's algorithms replicate the objective decision-making process of top physicians by combining the best and most up-to-date medical practices, professional knowledge, and machine-learning technologies.
 
 The Serenus.AI solution is compatible with every type of health system, including US insurance companies and public health systems.
 
 The Serenus.AI solution can be implemented to accelerate the diagnosis of COVID-19 and empower optimal treatment decisions. This can allow medical professionals to provide the right treatment for the right patient, reducing exhaustion of key frontline staff and the impact of the loss of manpower and lack of resources.",,3,People,3,People,1,TRUE,TRUE,
35,346,Madan Technologies,"Madan Technologies develops and manufactures pumping equipment, mixers, blowers, aquaculture accessories, and wastewater treatment systems. The company also distributes and markets imported products.
 
 Madan Technologies is owned by Maagan Michael Holdings Ltd.",,6,People,6,Prosperity,5,TRUE,FALSE,
36,279,WERPO,"WERPO aims to build power stations to generate electricity from ocean waves in every region of the world through local partners. Power plants built according to WERPO's technology are environmentally friendly and durable, and the systems are easy to build, require little space on land, and can be modified to fit any coastal terrain.
 
 WERPO was formed in collaboration with SDE Ltd and currently holds all rights for SDE technology, property, IP, contracts, and subsidiaries.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
37,437,Nostromo Energy,"Nostromo Energy is developing IceBrick, an energy storage system that requires no toxic or rare earth materials. Nostromo's IceBrick system uses surplus electric power during periods of excess to store cold thermal energy in the form of ice, which is then utilized for cooling during peak hours when the electrical grid is under its highest level of stress. The company's system is designed to be safe with almost no degradation for over 20 years of operation.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
38,45,Kedma Solar,"Kedma Solar provides photovoltaic solar arrays and smart home energy monitors, as well as turnkey installations and secondary contracting services with a variety of contract options. Using the company's revenue-sharing contract, customers can utilize Kedma Solar's clean energy technologies while purchasing their electricity services at a discounted rate. The company focuses on the installation of micro-fields in residential and business locations.
 
 Kedma's Shemesh home monitors provide customers with a suite of tools for learning about and managing energy consumption, all accessible through the Kedma Sheli user portal, My Kedma. Kedma Sheli displays live data and aggregated statistics about all aspects of the customer's energy usage and rooftop solar generation.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
39,255,Sphoonx,"Sphoonx creates and publishes educational mobile apps for elementary school children. The company has developed an app designed to help children learn and improve their handwriting through instruction in spelling and the use of cursive writing.
 
 Sphoonx also uses word illustration and tracing as practice methods. Its letter- and number-tracing game consists of 15 levels, each emphasizing accuracy, smoothness, and speed. These areas are then evaluated and the children are given feedback.",,4,People,4,People,1,TRUE,TRUE,
40,135,NeoTop,"NeoTop Water Systems manufactures modular covers for water reservoirs that are designed to work in harmony with the environment. The companys solution is a sphere that fills halfway when released into water. NeoTops aim is to decrease evaporation from reservoirs, saving water while also preserving its quality.
 
 The companys technology has undergone extensive testing and is also applicable to fields including fish farming, aquariums, and microalgae cultivation.",,6,People,6,People,1,TRUE,TRUE,
41,381,OBSmart,"OBSmart is developing a mobile medical device to measure cervical dilation at home. The device is designed for midwives and pregnant women to detect true labor and determine when they are ready to give birth, preventing unnecessary trips to the hospital.",,3,People,5,People,2,FALSE,TRUE,
42,306,Kalisaya,"Kalisaya is the developer of the KaliPAK, a portable, autonomous energy-storage device that can charge itself from multiple sources, including the sun, making it particularly useful when grid-based electric power is absent.
 
 The KaliPAK comes with a built-in Bluetooth transmitter that seamlessly connects to Android or iOS-based smartphones.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
43,4,OmnySense,"OmnySense aims to transform the digital thermometer into a comprehensive medical device. The company's device, the Multimometer, enables a full remote check-up to be performed with a familiar and simple-to-use device. 
 The user places the Multimometer in their mouth for 30 seconds to perform an on-the-spot check-up. The Multimometer's measurements include temperature, a six-lead ECG, lung sounds, heart and respiratory rates, oxygen saturation, and body fluids (to check for edema). The data and analytics are stored in the OmnySense Cloud, available to remote physicians, clinics, telemedicine partners, etc.
 
 OmnySense is developing its cloud-based medical monitoring system in conjunction with Maccabi Healthcare Services, the leading HMO in Israel, while preparing the system for deployment with telemedicine companies in the United States. The system is suitable for monitoring pandemics involving respiratory viruses such as COVID-19, due to its ability to monitor lung sounds in addition to vital signs.",,3,People,3,People,1,TRUE,TRUE,
44,502,Zero Energy Solutions,"Zero Energy Solutions develops indoor climate automation for multi-room buildings. The company deploys wireless climate node networks that enable users to sense, analyze, and automate the climate in every room, through a climate intelligence platform. 
 Zero Energy Solutions' node network of sensors and controllers considers everything that affects indoor comfort, such as external temperature, occupancy, humidity, exposure to light, ventilation, etc., and determines its ideal function according to electricity usage patterns and utility tariffs.
 The company offers its technology in a subscription-based model.",,7,Prosperity,3,People,0,FALSE,FALSE,
45,314,Elgressy Engineering Services,"Elgressy Engineering Services develops and markets comprehensive solutions and systems for treating and preventing common water-related problems including scale, bacteria, and corrosion. The company's electrochemical technology provides solutions for cooling towers, heat exchangers, hot and cold water systems, and other industrial applications.
  
 Elgressy is a subsidiary of the Clean Technologies Group.",,6,People,6,People,1,TRUE,TRUE,
46,430,Viridix,"Viridix aims to reinvent soil sensing through the development of a scalable, affordable solution that has been recognized by top agriculture scientists and corporate entities.
 
 The companys revolutionary, patent-pending soil moisture sensor measures the water potential available to the roots of the plant, which is considered the gold standard of measurement in fertigation. The sensor itself acts as a real plant and can be mounted on different platforms, with no electricity or network needed for operation.",,"2,6",People,2,People,1,TRUE,TRUE,
47,358,SavorEat,"SavorEat is developing a processing method to create plant-based products for use as meat substitutes. The company's solution combines 3D-printing technology and nutritious plant-based ingredients, enabling the creation of a variety of appetizing products that can be cooked, grilled, or baked.",,2,People,2,People,1,TRUE,TRUE,
48,333,Aquallence,"Aquallence has developed a system for central water purification that harnesses the natural power of ozone oxidation to provide people everywhere with safe and clean water with no chemical interference. Designed for scalability, the companys system operates across the entire water supply chain, from private residences and water kiosks to schools, buildings, and municipal systems.
 
 Aquallence also offers transportable water purifiers as a solution for first responders, including mobile forces, rescue units, and special missions operating under severe conditions or in disaster-stricken areas. In addition, the company serves rural areas that lack clean water and stable electricity, as well as urban centers with aging water infrastructures vulnerable to sewage and waste contamination.",,6,People,6,People,1,TRUE,TRUE,
49,462,GaitBetter,"GaitBetter promotes healthy aging by helping adults aged 65 and over improve their mobility and reduce their fall risk through motor-cognitive training using a virtual reality (VR) add-on for ordinary treadmills.
 
 The companys solution is based on a four-year research project led by the Tel Aviv Sourasky Medical Center (TASMC) which showed that combining motor and cognitive training in a multimodal fashion is 42% more effective in reducing fall risk than motor training alone.
 
 GaitBetter signed an exclusive license agreement with TASMC for the use of the know-how and related patents to commercialize the fall prevention system. The company is part of the MindUp incubator.",,3,People,3,People,1,TRUE,TRUE,
50,465,SolarWat,"SolarWat is a clean-energy start-up that has developed a photovoltaic (PV) panel designed to provide high energy yield under most conditions, a long panel lifespan, and power derating within a long life at a lower system cost per watt. SolarWat's approach aims to eliminate the mismatch effect between PV cells and reducing panel power losses. 
 SolarWat's SLW panel can be manufactured in existing manufacturing plants using the same materials and manufacturing process, without altering any machinery. SolarWat's solution is compatible with any type of PV panel cell technology. 
 The company's photovoltaic panels have been tested and verified by the Fraunhofer Institute in Germany. The company has signed letters of intent with large PV manufacturers and aggregators including EDP, SolarTech Universal, and HEVEL. 
 The company has received a seal of excellence from the European Commission. Following the panel's certification, a designated production line will be adjusted to SolarWat's technology for mass production.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
51,31,Choices,"Choices is a research and development company developing EQS, an AI-based emotional intelligence development and training simulator for young children. 
 
 The EQS identifies strengths and weaknesses in a child's emotional intelligence, providing an individualized profile and feedback to help parents give their children emotional strength and personal empowerment to better cope with life's challenges, including overcoming cultural and socioeconomic gaps. 
 
 The EQS simulator is designed to enable parents to spend dedicated quality time with their children, fostering strong parentchild relationships.",,3,People,4,People,2,FALSE,TRUE,
52,453,PlantArcBio,"PlantArcBio is a plant biotech start-up company and the developer of the IP-protected Direct In Plant (DIP) platform for improving plant performance. DIP screens millions of plants, each with unique genes, from any possible source and with no prior knowledge required. The platform can be used for both conventional (e.g. marker-assisted selection breeding and gene editing) and biotech applications.
 
 Positive in planta results enable the rapid discovery of promising genes. Through the use of DIP, PlantArcBio has discovered promising genes for drought tolerance, yield improvement, and insect control. The company has also initiated activity in the areas of herbicide tolerance and disease control.",Food Security,2,People,15,People,2,FALSE,TRUE,
53,479,BioCloud,"BioCloud develops an herb-based pesticide to protect crops naturally. The pesticide, derived from natural plant compounds, is applied by the farmer only once when the plant is young but continues to release a pest-repelling odor.
 The company's pesticides include no toxic chemical ingredients. BioCloud's mission is to integrate its green insecticide into pest control as an exclusive material for conventional and organic agriculture that will prevent days of pre-harvest spraying.
 BioCloud's products have been tested and proven to prevent the spread and establishment of pests in crop growth, with no damage to crops.",,2,People,2,People,1,TRUE,TRUE,
54,96,Paskal Group,"Paskal Group develops irrigation and growth-monitoring solutions, enabling growers to track and monitor the conditions in which their crop is cultivated, preventing resource spoilage, supporting sustainable growth, increasing yields, and improving quality.
 
 The company's DrainVision product allows growers to control, adjust, and optimize the plant roots' growth. Another of Paskal's products is PhytoVision, which enables farmers to monitor plants' growth rate in the greenhouse; observe growth patterns and their correlation with the climate/irrigation data; compare the performance of different compartments, rows, posts, varieties, and technologies; and more. 
 
 Paskal Group also manufactures trellising accessories for greenhouses, orchards, and vineyards. The products are tailored to the specific crop, climate conditions, growing season, and available manpower.",,2,People,2,People,1,TRUE,TRUE,
55,222,EZPack Water,"EZPack Water manufactures and markets multiple product lines and has developed a deployed system for mini-grid water and electricity for both remote and off-grid locations. EZPacks hybrid green-energy systems introduce the concept of using water to store energy, and the company has also developed a line of green-energy water heating and cooling systems.
 
 EZPacks prepaid blockchain water and electricity billing system includes a cell-phone app for ordering and payment, a payment and control system based on blockchain technology, and smart meters or an electricity storage system at the customers location. The use of blockchain technology makes the system secured and almost impossible to hack: no fake transactions can be generated, no single point controls the system, and all information is transparent to all blocks.",,6,People,7,People,2,FALSE,TRUE,
56,10,Fitocare,"Fitocare has developed a patented device (currently in the PCT phase) for the treatment of plantar fasciitis. 
 The company's device, which is registered as a medical device with the Israeli Ministry of Health, has been marketed for two years, with approximately 700 devices sold in Israel. In addition, the foot and ankle unit of Ichilov Hospital's Orthopedics Department intends to conduct a clinical trial of the device.
 
 Fitocare has also developed a support system in which each patient is assigned a telephone therapist to accompany them through their treatment.",,3,People,3,People,1,TRUE,TRUE,
57,360,Boon.Today,"Boon.Today allows brands and media agencies to use their ads to help fund social or environmental projects by turning user engagement into micro-donations. 
 
 When consumers are exposed to any ad displaying Boon.Todays Ad For Good label, they are rewarded financially in a digital currency called Boon, which is automatically credited to their personal Boon.Today wallet. Users can redeem their Boon directly from the wallet to make donations to their chosen organization.",,"17,13,1","People,Planet,Partnership",2,Prosperity,0,FALSE,FALSE,
58,268,Apollo Power,"Apollo Power develops technology solutions and products in the field of solar energy. Its flagship development is a flexible solar film designed to transform any surface under the sun into an energy production source. 
 
 The companys patented solar film technology is based on an innovative cell configuration of bottom electrodes, an exclusive active solar paint material, and a dedicated developed plastic membrane.
 
 Apollo Power is also developing solar home systems for energy production, storage, usage, and sale. These systems feature a changeable rear panel that enables the system to use the excess energy to create income once the battery is full.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
59,214,Ormat Technologies,"Ormat Technologies is a geothermal company engaged in geothermal and recovered energy generation (REG). The company owns, operates, designs, manufactures, and sells geothermal and REG power plants based primarily on the Ormat Energy Converter, a power-generation unit that converts low, medium, and high-temperature heat into electricity. 
 Ormat's flexible, modular solutions for geothermal power and REG are suited for a wide range of applications. The company has engineered, manufactured, and constructed power plants that it currently owns or has installed for utilities and developers worldwide, totaling over 2,000 megawatts of gross capacity.",,7,Prosperity,7,Prosperity,1,TRUE,TRUE,
