results_25_tweets:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
5500	1.324400	2.143150	0.558650	0.273121	0.598425	1.791071	0.039092	0.062333
6000	1.266800	2.742763	0.596922	0.307444	0.618110	1.784855	0.037873	0.050213
6500	1.109000	2.765856	0.571048	0.297336	0.578740	1.859217	0.057994	0.110751
7000	1.047600	2.680484	0.599583	0.305722	0.622047	1.788159	0.038706	0.052625
7500	0.766800	2.761088	0.597195	0.309943	0.610236	1.041109	0.039257	0.082144
8000	0.780000	2.974492	0.583852	0.301711	0.598425	1.816407	0.046440	0.080364
8500	0.623000	3.372882	0.585790	0.304237	0.590551	0.255784	0.016052	0.059099
9000	0.567000	2.724768	0.608119	0.340785	0.606299	0.256144	0.015467	0.042525
9500	0.548500	4.259606	0.555603	0.297826	0.547244	1.122576	0.044305	0.098136
10000	0.439600	3.201584	0.594139	0.314563	0.602362	0.300484	0.020605	0.041354
10500	0.443200	3.609755	0.578044	0.325749	0.555118	0.300282	0.028314	0.072167
11000	0.351300	3.748486	0.595964	0.349513	0.578740	0.259058	0.017666	0.046915
11500	0.404800	5.761687	0.585561	0.337119	0.547244	0.335786	0.040164	0.075593
12000	0.361700	4.717004	0.553658	0.318204	0.503937	0.335215	0.039810	0.081449
12500	0.285800	4.914644	0.578980	0.340325	0.531496	0.372518	0.051239	0.090294
13000	0.217200	6.007074	0.535554	0.304069	0.484252	0.371016	0.048603	0.094433
13500	0.196800	6.095989	0.538983	0.306855	0.480315	0.389186	0.056879	0.105812
14000	0.172500	5.663088	0.538830	0.306197	0.476378	0.427827	0.066231	0.107483
14500	0.067400	6.702880	0.531707	0.310292	0.476378	0.388526	0.054388	0.099910
15000	0.106000	6.605711	0.534099	0.308779	0.476378	0.387733	0.054834	0.098320

results_50_tweets:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.809600	4.398739	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1000	4.031800	4.048245	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1500	3.818400	3.420885	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
2000	2.694300	3.020507	0.390125	0.061470	0.527559	8.419959	0.185388	0.092536
2500	1.877900	2.652961	0.423559	0.069206	0.507874	7.707954	0.210484	0.082500
3000	1.781600	3.130570	0.416406	0.060024	0.511811	8.055715	0.190164	0.079307
3500	1.621000	2.529423	0.436025	0.078684	0.523622	2.865029	0.098431	0.060067
4000	1.516600	3.905443	0.431732	0.084898	0.539370	5.712343	0.129565	0.069492
4500	1.270300	2.668834	0.476543	0.137425	0.519685	3.921106	0.097024	0.048218
5000	1.073600	3.790294	0.494859	0.145489	0.559055	4.093956	0.085712	0.040598
5500	1.232600	3.279290	0.484802	0.156966	0.519685	3.319325	0.093894	0.044290
6000	1.117500	4.651434	0.525503	0.203845	0.566929	2.074354	0.056786	0.028842
6500	1.484600	3.766734	0.481475	0.199708	0.472441	1.818074	0.080883	0.072345
7000	0.903400	5.760175	0.536759	0.209114	0.582677	1.715279	0.049298	0.040915
7500	1.016400	6.037983	0.483217	0.230564	0.480315	1.918672	0.071876	0.062828
8000	0.699100	6.622693	0.531275	0.216595	0.543307	1.702846	0.047992	0.022730
8500	0.686500	6.959006	0.544892	0.226772	0.559055	1.206742	0.031612	0.016126
9000	0.561700	7.555761	0.558384	0.310461	0.566929	0.988281	0.024784	0.014256
9500	0.397500	8.652130	0.523216	0.235556	0.515748	0.693967	0.033726	0.026410
10000	0.349400	8.748264	0.543534	0.241535	0.547244	1.085688	0.031076	0.016908
10500	0.225300	9.424871	0.527931	0.225376	0.531496	0.582837	0.035486	0.024865
11000	0.267000	8.877882	0.530258	0.248176	0.523622	0.343959	0.023359	0.024831
11500	0.198800	8.148466	0.540089	0.238159	0.543307	0.140242	0.020964	0.019465
12000	0.137100	8.436849	0.512217	0.185146	0.507874	0.465743	0.040304	0.021960
12500	0.121200	8.180326	0.535131	0.248859	0.535433	0.131295	0.018256	0.015965
13000	0.141500	8.826024	0.526280	0.224193	0.523622	0.362892	0.030143	0.019243
13500	0.111000	8.575315	0.502636	0.204157	0.484252	0.436587	0.034757	0.023143
14000	0.050000	8.809482	0.519761	0.208751	0.507874	0.429893	0.032715	0.019153
14500	0.032200	8.598262	0.524286	0.201077	0.515748	0.447678	0.036730	0.020583
15000	0.049400	8.907596	0.517380	0.200810	0.507874	0.375368	0.033672	0.020203

results_50_tweets_5ps:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.749100	3.473665	0.349204	0.112847	0.511811	7.181301	0.198807	0.228199
1000	3.132300	3.362510	0.352809	0.114012	0.515748	9.653844	0.202211	0.227212
1500	2.811200	2.733557	0.379902	0.138564	0.515748	2.340440	0.139123	0.204750
2000	2.266800	2.267369	0.476681	0.210065	0.582677	6.699525	0.134174	0.138039
2500	1.497900	2.021331	0.562688	0.280657	0.570866	1.821385	0.047375	0.078312
3000	1.706800	2.079737	0.583962	0.293618	0.629921	1.791830	0.039505	0.071700
3500	1.268800	2.144759	0.614939	0.319400	0.641732	1.781477	0.036879	0.046025
4000	1.456100	2.515477	0.660152	0.345258	0.696850	1.772425	0.034531	0.042525
4500	1.093900	2.464139	0.622314	0.323384	0.645669	1.789866	0.039245	0.056598
5000	0.983700	2.807516	0.596867	0.310984	0.618110	1.833794	0.051005	0.090921
5500	0.771600	2.449098	0.642070	0.330370	0.681102	1.776120	0.035497	0.051383
6000	0.666800	3.134782	0.635364	0.330916	0.653543	0.960543	0.020995	0.033791
6500	0.623500	3.178749	0.623463	0.315209	0.649606	0.344359	0.030278	0.063156
7000	0.611100	3.074991	0.630990	0.322495	0.661417	1.063252	0.027858	0.049278
7500	0.523500	3.240303	0.618379	0.314934	0.641732	1.063366	0.027798	0.051383
8000	0.556000	4.440787	0.597929	0.312216	0.582677	1.141438	0.050719	0.070207
8500	0.543700	3.516515	0.591533	0.303350	0.598425	1.052730	0.026158	0.037072
9000	0.443200	4.002293	0.600499	0.296447	0.610236	0.299559	0.023572	0.053790
9500	0.284500	3.949407	0.581997	0.328444	0.539370	0.345398	0.043934	0.081576
10000	0.238200	3.801792	0.597262	0.345478	0.559055	0.340669	0.039646	0.071157
10500	0.199900	4.391499	0.565662	0.307444	0.539370	0.293686	0.026739	0.060139
11000	0.164200	4.507470	0.576864	0.315844	0.539370	0.337811	0.039734	0.070647
11500	0.128800	5.050418	0.605907	0.331022	0.586614	0.329164	0.035328	0.068682
12000	0.105300	5.346171	0.586604	0.325072	0.570866	0.281417	0.022814	0.046970
12500	0.169500	5.225221	0.571729	0.299131	0.531496	0.391015	0.054671	0.093802
13000	0.081300	6.506558	0.599251	0.322367	0.590551	0.313805	0.030517	0.070133
13500	0.085100	6.085015	0.594909	0.312037	0.570866	0.269457	0.020806	0.045687
14000	0.071600	6.569270	0.577460	0.291699	0.559055	0.099924	0.025420	0.058616
14500	0.060900	6.808321	0.559099	0.283594	0.519685	0.362526	0.045559	0.077116
15000	0.086100	6.857959	0.551013	0.276569	0.511811	0.365182	0.046344	0.077882

results_75_tweets:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.583200	3.941695	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1000	3.943300	3.951346	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1500	3.906500	3.929108	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
2000	3.437000	4.183726	0.382140	0.069019	0.535433	8.416350	0.183993	0.109405
2500	2.393200	3.018679	0.397318	0.055055	0.492126	7.578259	0.167008	0.072381
3000	2.204700	2.635096	0.415076	0.091318	0.503937	6.610441	0.148631	0.071796
3500	1.714400	2.711496	0.441273	0.095289	0.496063	3.770978	0.117067	0.055071
4000	1.978600	2.944987	0.438577	0.109746	0.519685	3.628883	0.135686	0.070854
4500	1.698900	2.684437	0.460909	0.100780	0.500000	2.939491	0.088914	0.045423
5000	1.496700	2.484637	0.460477	0.121756	0.503937	2.543165	0.103099	0.049626
5500	1.198200	3.475024	0.481814	0.123492	0.503937	3.121625	0.104089	0.051516
6000	1.433900	2.722894	0.510413	0.203321	0.515748	2.098067	0.066062	0.045857
6500	1.069700	4.336757	0.442688	0.111929	0.507874	2.150077	0.091573	0.054836
7000	0.914300	4.056544	0.522073	0.218179	0.511811	0.957141	0.052711	0.038686
7500	0.717400	5.415507	0.494533	0.170769	0.496063	0.895145	0.050971	0.027901
8000	0.754500	4.216778	0.497450	0.201500	0.488189	0.671348	0.051933	0.041166
8500	0.534700	5.230067	0.473480	0.181203	0.448819	0.584838	0.055327	0.038171
9000	0.562000	6.300983	0.489841	0.190738	0.480315	0.693186	0.047493	0.044193
9500	0.321500	7.497103	0.489882	0.272073	0.476378	0.704828	0.060921	0.041769
10000	0.266200	6.148601	0.493148	0.255163	0.484252	0.597994	0.055070	0.020583
10500	0.168900	7.531707	0.501030	0.195745	0.488189	0.599299	0.042958	0.022881
11000	0.150900	8.729296	0.505073	0.218600	0.484252	0.484618	0.046893	0.025481
11500	0.104900	9.386857	0.478839	0.275653	0.448819	0.406908	0.041307	0.034372
12000	0.103900	7.894016	0.511064	0.247199	0.500000	0.435315	0.050045	0.023106
12500	0.118800	8.570884	0.509773	0.273409	0.488189	0.194254	0.035932	0.022464
13000	0.031100	8.805393	0.547926	0.271327	0.539370	0.105346	0.028953	0.019198
13500	0.016800	9.523067	0.526436	0.277041	0.515748	0.221547	0.042802	0.022425
14000	0.013800	9.839932	0.524500	0.279470	0.519685	0.230578	0.041592	0.021363
14500	0.045800	10.467362	0.503867	0.253862	0.480315	0.192077	0.051791	0.026049
15000	0.017700	10.423855	0.508817	0.261089	0.488189	0.148379	0.040366	0.023731

results_75_tweets_5ps:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    4.077200	3.920772	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
1000	2.710900	2.964484	0.402693	0.176952	0.472441	6.764032	0.154169	0.159177
1500	2.056500	2.080867	0.487520	0.240214	0.543307	1.159406	0.047042	0.108250
2000	2.209800	2.294718	0.592024	0.301134	0.633858	1.784321	0.037523	0.058174
2500	1.557800	2.243006	0.607031	0.306828	0.633858	1.773358	0.034796	0.037211
3000	1.513300	2.568649	0.601629	0.304813	0.657480	1.844336	0.051237	0.092555
3500	0.935100	2.785395	0.600088	0.300501	0.653543	1.814424	0.045008	0.089316
4000	1.011200	2.642407	0.602611	0.305457	0.649606	1.795768	0.040409	0.073409
4500	0.697000	3.442893	0.621198	0.367918	0.637795	0.303897	0.021717	0.051583
5000	0.491200	3.401740	0.609902	0.348758	0.625984	0.908699	0.037925	0.070317
5500	0.441100	4.167498	0.610954	0.397903	0.645669	0.923304	0.041065	0.093333
6000	0.501100	3.648085	0.602951	0.436359	0.594488	0.239769	0.012361	0.060053
6500	0.331000	3.960326	0.613822	0.382996	0.618110	0.030287	0.007157	0.038440
7000	0.287200	5.231145	0.595211	0.400622	0.625984	0.139097	0.031807	0.102211
7500	0.249500	3.962655	0.616002	0.410223	0.602362	0.296136	0.029062	0.061414
8000	0.210500	4.134480	0.604123	0.376196	0.606299	0.103393	0.018906	0.043426
8500	0.128000	4.858140	0.604225	0.416872	0.614173	0.069360	0.016155	0.054077
9000	0.193400	4.284523	0.627887	0.452044	0.633858	0.060271	0.015291	0.053886
9500	0.058300	4.920573	0.602499	0.429217	0.606299	0.048109	0.009476	0.021564
10000	0.031100	5.745582	0.653299	0.520288	0.665354	0.028293	0.006978	0.048218
10500	0.016700	6.489861	0.627768	0.467145	0.633858	0.042166	0.011271	0.047025
11000	0.088600	5.981747	0.621417	0.483324	0.618110	0.046657	0.012005	0.034696
11500	0.012100	6.238456	0.632177	0.491548	0.633858	0.037005	0.009560	0.032782
12000	0.017600	7.640385	0.599332	0.451062	0.590551	0.064928	0.017170	0.039239
12500	0.003300	7.592371	0.603663	0.457804	0.598425	0.074696	0.019063	0.041041
13000	0.000000	7.399419	0.613262	0.458308	0.618110	0.040781	0.009983	0.034472
13500	0.041000	7.026432	0.629091	0.462224	0.637795	0.066999	0.017240	0.060524
14000	0.027200	7.027018	0.632543	0.465979	0.641732	0.062753	0.016008	0.059491
14500	0.000000	7.026891	0.632543	0.465979	0.641732	0.062753	0.016008	0.059491
15000	0.027200	7.027216	0.632543	0.465979	0.641732	0.062753	0.016008	0.059491

results_100_tweets:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.613200	4.007669	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1000	3.734700	3.722543	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
1500	3.798600	3.865270	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
2000	3.662100	3.786345	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
2500	3.787300	3.739825	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
3000	3.656700	3.655374	0.350977	0.042532	0.515748	9.336662	0.207193	0.121247
3500	3.861700	3.485627	0.352809	0.042755	0.515748	9.125995	0.202211	0.119473
4000	2.747000	2.485612	0.425784	0.091131	0.535433	7.097678	0.154009	0.074930
4500	2.016900	2.588446	0.450413	0.098202	0.535433	5.184316	0.112791	0.055647
5000	1.777400	2.685260	0.454825	0.108839	0.551181	4.129396	0.094431	0.066736
5500	1.355800	2.765547	0.482127	0.119948	0.555118	4.167878	0.104222	0.053790
6000	1.500200	2.460445	0.474715	0.102654	0.496063	3.277265	0.107215	0.043505
6500	1.149900	2.535185	0.488726	0.126032	0.503937	3.251674	0.085064	0.034820
7000	1.302300	2.045097	0.489624	0.119601	0.503937	4.115413	0.112944	0.055569
7500	1.122300	2.617591	0.488165	0.133580	0.500000	2.784919	0.084603	0.038126
8000	1.051000	3.595506	0.525818	0.178756	0.547244	2.571640	0.066578	0.034721
8500	1.043000	4.130504	0.510751	0.180301	0.539370	2.796302	0.079959	0.037373
9000	0.897500	4.935410	0.508273	0.200984	0.496063	1.793303	0.062819	0.052575
9500	0.779700	4.867221	0.529384	0.221933	0.527559	1.835484	0.047526	0.028085
10000	0.750500	4.289398	0.536700	0.230199	0.543307	2.078280	0.061793	0.030581
10500	0.680900	5.097093	0.519336	0.239109	0.496063	1.081534	0.049643	0.040364
11000	0.551000	5.502675	0.506391	0.201960	0.503937	1.539600	0.053434	0.037557
11500	0.479800	5.262814	0.502709	0.192315	0.500000	0.719158	0.037109	0.036226
12000	0.441300	5.459218	0.515231	0.208462	0.515748	0.453206	0.028733	0.022768
12500	0.326700	5.706279	0.528832	0.208882	0.511811	0.620916	0.029030	0.023912
13000	0.269600	5.545950	0.524078	0.204430	0.515748	0.390002	0.031629	0.022957
13500	0.244500	6.008260	0.526339	0.211696	0.519685	0.341611	0.022561	0.022806
14000	0.153400	6.776433	0.521984	0.210511	0.507874	0.068963	0.017128	0.023180
14500	0.082300	6.739151	0.526843	0.221974	0.519685	0.139042	0.019084	0.020833
15000	0.098000	6.711195	0.540082	0.245481	0.531496	0.334790	0.021365	0.021038

results_100_tweets_5ps:
Step	Training Loss	Validation Loss	F1 Weighted	F1 Macro	F1 Micro	Kl Div	Js Div	Rmse
500	    3.382300	4.748050	0.350977	0.113420	0.515748	9.864511	0.207193	0.230015
1000	2.710500	2.360498	0.458071	0.195459	0.531496	6.759281	0.152704	0.156955
1500	1.951700	2.868915	0.444287	0.202878	0.562992	6.707867	0.136306	0.171670
2000	2.029000	2.089182	0.593176	0.298436	0.649606	1.834595	0.049146	0.084133
2500	1.593700	2.439517	0.599608	0.308473	0.610236	1.103718	0.039297	0.091120
3000	2.057900	2.041370	0.645058	0.335352	0.688976	1.794290	0.040104	0.072950
3500	1.614100	2.094574	0.637678	0.328807	0.677165	1.784353	0.037506	0.057951
4000	1.603300	2.371567	0.619628	0.314976	0.649606	1.780839	0.036666	0.045857
4500	1.408700	2.551134	0.627754	0.327474	0.649606	1.032117	0.032667	0.050979
5000	1.090100	2.249545	0.600200	0.310638	0.657480	1.828508	0.048147	0.095196
5500	0.803200	2.700648	0.606387	0.322546	0.649606	1.075378	0.031476	0.082927
6000	0.882000	2.657111	0.638206	0.328791	0.669291	0.077145	0.015176	0.043008
6500	0.805100	2.904899	0.612003	0.335500	0.610236	0.839931	0.020696	0.045347
7000	0.619600	2.853388	0.614445	0.380952	0.622047	0.213609	0.005564	0.018881
7500	0.505200	3.400840	0.570513	0.282478	0.582677	0.104361	0.021825	0.054647
8000	0.489500	3.185881	0.608399	0.326522	0.629921	0.303022	0.025158	0.063442
8500	0.491600	3.505072	0.631422	0.394352	0.637795	0.042284	0.010175	0.027931
9000	0.437400	4.036894	0.583393	0.338681	0.574803	0.027505	0.007827	0.023512
9500	0.220400	3.888146	0.629833	0.455336	0.641732	0.022828	0.005114	0.029020
10000	0.330200	4.128471	0.605230	0.379684	0.594488	0.262777	0.018982	0.042525
10500	0.264900	4.267078	0.613793	0.374448	0.586614	0.088638	0.024055	0.056140
11000	0.260400	3.979552	0.629141	0.380468	0.629921	0.030037	0.006927	0.034322
11500	0.108400	4.905174	0.610077	0.355362	0.578740	0.129616	0.036455	0.077916
12000	0.146700	5.045615	0.583964	0.346084	0.566929	0.156082	0.040683	0.081892
12500	0.129000	4.105714	0.607837	0.364119	0.594488	0.152558	0.038907	0.077982
13000	0.033800	4.788823	0.579142	0.369759	0.535433	0.116237	0.032882	0.064851
13500	0.026200	5.334714	0.605542	0.400422	0.570866	0.116268	0.032587	0.063197
14000	0.031800	5.045098	0.594529	0.381760	0.574803	0.061649	0.016374	0.040978
14500	0.022900	5.388795	0.587229	0.367456	0.562992	0.088655	0.023429	0.050827
15000	0.001000	5.528053	0.579903	0.364212	0.543307	0.131132	0.035559	0.065879
